,count,mean,std,min,5%,50%,95%,max,MaxDdAmp,MaxDdRecBars,MaxDdStart,LongDdRecBars,LongDdStart,MaxDdEnd,AnnStd,AnnSharpe
gain_whole_market_simple,5223.0,0.0027670458473680434,0.08164311841565172,-0.5947965191392242,-0.12923684168941466,0.0044452029158037,0.12343149832997463,0.7085077286388672,-5.508569541803791,1616,2019-04-04,1616,2019-04-04,False,1.2908910473614852,0.5358790451416761
gain_000905.SH_simple,5223.0,0.00040142819561841145,0.017893372197510363,-0.0941502407650256,-0.027872282006127038,0.0,0.026468594495236305,0.10041548293208,-1.4002995036619836,2372,2016-03-01,2372,2016-03-01,False,0.28291905582632504,0.3547200050257797
bench_000905.SH,5223.0,0.00040673682398405535,0.01789325229043949,-0.10041548293208,-0.02851787350713916,0.0008366918422151,0.025620594529714262,0.0990403007785563,-1.28797321086837,1679,2008-01-15,2545,2015-06-12,True,0.2829171599290674,0.3594133562683436
