,count,mean,std,min,5%,50%,95%,max,MaxDdAmp,MaxDdRecBars,MaxDdEnd,MaxDdStart,LongDdRecBars,LongDdStart,AnnStd,AnnSharpe
1,21.0,-0.08076960968281768,0.16432300105822156,-0.29811152778398464,-0.2964052401023592,-0.10444068555773625,0.2025665249091292,0.38049564355274457,-2.16159031049679,20,False,2005-01-01,20,2005-01-01,0.5692315733700682,-0.14189235710280573
2,21.0,-0.10700021393302056,0.15020136246465882,-0.3089607648745927,-0.23276520609843088,-0.1658682652600178,0.21971554103077048,0.23684494290599675,-2.0630605326010767,20,False,2005-02-01,20,2005-02-01,0.5203127823097159,-0.2056459452294
3,21.0,-0.12621233728749987,0.13969140998823254,-0.5092059606880184,-0.28914292381889883,-0.1275138108604535,0.07367612627473304,0.10480527979253358,-2.6340064206960343,20,False,2005-03-01,20,2005-03-01,0.4839052389611066,-0.260820357222138
4,21.0,-0.007196150197928938,0.13250954379361085,-0.25243644185376013,-0.22764772833747016,-0.029643825847623657,0.2834118847312816,0.2847926401517249,-0.6231614958094521,15,False,2010-04-01,15,2010-04-01,0.45902652467661437,-0.015676981200593253
5,21.0,-0.11679311188150995,0.1443430362778762,-0.4071706675887037,-0.2700893459939613,-0.11568448379325785,0.09142668594908605,0.12911317246768986,-2.5817685219793987,20,False,2005-05-01,20,2005-05-01,0.5000189451040784,-0.2335773734677185
6,22.0,-0.07164274686157483,0.16749442234653467,-0.3592288808627112,-0.3359548383279475,-0.083950164708885,0.21065039073863198,0.29798771298570853,-1.8741281439403548,21,False,2004-06-01,21,2004-06-01,0.5802176989771959,-0.12347563162562296
7,22.0,-0.11927462951512034,0.14928003388701366,-0.5038067665549588,-0.34108078967806027,-0.1358048661600462,0.15308094935050912,0.18507233375960766,-2.120235082777688,21,False,2004-07-01,21,2004-07-01,0.5171212064958227,-0.2306512052046039
8,22.0,-0.08582942288957038,0.15743213255529812,-0.36924577542839077,-0.3323249049076244,-0.11195150057737127,0.18584173797203898,0.25043535340170947,-1.9919450586777023,21,False,2004-08-01,21,2004-08-01,0.5453609046593892,-0.1573809603076994
9,22.0,-0.09152796056826716,0.1794541585849201,-0.50666607657036,-0.2937651836234849,-0.09182362924114261,0.11165716121465646,0.43256766286985776,-2.123146968142829,21,False,2004-09-01,21,2004-09-01,0.6216474405972083,-0.14723451685144473
10,22.0,-0.07139223336594731,0.2073769155348097,-0.7258223668885778,-0.36924493823739923,-0.06224953402959229,0.1720676323314497,0.23356305365051386,-1.1684052662074242,17,False,2008-10-01,17,2008-10-01,0.7183747080464199,-0.09938021559820018
11,22.0,-0.08878546180842982,0.13900728186188754,-0.36133660392706457,-0.3330668483723833,-0.07964432090225392,0.06818006087000213,0.09710443896592735,-1.619455164957394,21,False,2004-11-01,21,2004-11-01,0.4815353496136737,-0.1843799461029406
12,22.0,-0.10943014872633881,0.14829921039456417,-0.4792636298116159,-0.33785635926202484,-0.09034475583065404,0.033329515452599046,0.25,-2.6548174684704215,21,False,2004-12-01,21,2004-12-01,0.5137235342514634,-0.21301369594793307
