,count,mean,std,min,5%,50%,95%,max
"tautocorr(signal,0)",1635.0,1.0,8.37578803139352e-17,0.9999999999999997,0.9999999999999998,1.0,1.0,1.0
"tautocorr(signal,1)",1635.0,0.007653270350069894,0.38403515205305755,-1.0,-0.6335396092495587,0.017098131881741998,0.6348624639906194,1.0
"tautocorr(signal,2)",1635.0,0.14730869803500066,0.2901400147819073,-1.0,-0.3039930818325896,0.13635785721166568,0.6376732009475065,1.0
"tautocorr(signal,3)",1635.0,0.005163692654678466,0.29154836210460267,-1.0,-0.4640727130338069,-0.0012068239493481202,0.49596350092644603,1.0
"tautocorr(signal,4)",1635.0,0.05819547555121764,0.27228290555575524,-1.0,-0.37450171761209955,0.037616156761063675,0.5353959540524659,1.0
"tautocorr(signal,5)",1635.0,0.000981217199457318,0.2701542985970479,-0.9999999999999998,-0.4086397805635299,-0.01575306758115542,0.4697966790339994,1.0
"tautocorr(signal,6)",1635.0,0.00023319058292131355,0.2710116275257303,-1.0,-0.4070689956487775,-0.02003306850874565,0.48887416883139045,0.9999999999999998
"tautocorr(signal,7)",1635.0,-0.008050228265996419,0.2502891756009962,-1.0,-0.3976436462541339,-0.018946702178067237,0.40696492894398684,1.0
"tautocorr(signal,8)",1635.0,0.00946015154886517,0.2689577895479473,-1.0,-0.40606197155370266,-0.008411553958337167,0.47900065928795044,1.0
"tautocorr(signal,9)",1635.0,-0.008593985035593334,0.2690835495882228,-1.0,-0.42608989370765765,-0.018620939824510643,0.4427644504419057,1.0
"tautocorr(signal,10)",1635.0,0.002169401259749029,0.27248537423421937,-1.0,-0.4182576963683079,-0.008786041762313223,0.45485246185890427,1.0
