,count,mean,std,min,5%,50%,95%,max,MaxDdAmp,MaxDdRecBars,MaxDdEnd,MaxDdStart,LongDdRecBars,LongDdStart,AnnStd,AnnSharpe
whole_market,259.0,-0.08969427476762079,0.1576364414454458,-0.7258223668885778,-0.33450180619881786,-0.09156071949974492,0.18574344126219036,0.43256766286985776,-23.77880487779948,258,False,2004-06-01,258,2004-06-01,0.03393105501507873,-2.6434272299449946
000016.SH,259.0,-0.08159850114074302,0.24212626789300326,-1.0,-0.46031980082300916,-0.08431389497508021,0.3054598429774004,0.7222422634448372,-21.431999508438153,258,False,2004-06-01,258,2004-06-01,0.052117388854634905,-1.5656674851523438
000300.SH,247.0,-0.07948030692676263,0.23203340824143903,-0.6362891135816984,-0.4219738964879929,-0.08456786929705291,0.31090262184368006,1.0,-20.607473566436802,246,False,2005-06-01,246,2005-06-01,0.05114376143708874,-1.5540567352389654
000510.SH,247.0,-0.0843317861914188,0.22648071467138947,-0.6107255884164279,-0.4209196080287151,-0.09014638066511103,0.2786385080056376,0.9999999999999999,-21.663699328072052,246,False,2005-06-01,246,2005-06-01,0.049919861665792126,-1.689343347063152
000688.SH,67.0,-0.12867640032107502,0.25449873094552006,-1.0,-0.49158380393484147,-0.10599696474455252,0.2904729623481473,0.6297876405246563,-8.760928323337135,58,False,2021-02-01,58,2021-02-01,0.10770573846839974,-1.194703292051871
000852.SH,247.0,-0.09949233817941733,0.22550718970956815,-0.6431357218363712,-0.4260978098226702,-0.10618771366030591,0.30047065747722473,1.0,-25.411589312317687,246,False,2005-06-01,246,2005-06-01,0.04970528166725746,-2.0016451942763314
000905.SH,247.0,-0.10347578716437053,0.22327982399611815,-0.591411106107656,-0.4525135477434657,-0.10684067425513852,0.2627000837429816,1.0,-26.39237945870815,246,False,2005-06-01,246,2005-06-01,0.04921433572311435,-2.1025537710503195
399006.SZ,182.0,-0.05972043384208332,0.2407139789467723,-0.5876751220948423,-0.4300843523169604,-0.0574017495061922,0.29623470483271075,1.0,-12.830061452226422,156,False,2012-12-01,156,2012-12-01,0.06180964379059332,-0.9661992883248431
932000.CSI,139.0,-0.09939714854693053,0.24319276538174406,-1.0,-0.42733481544042085,-0.11762833562704098,0.3023948232575559,0.5216823449383102,-14.433616279000736,123,False,2015-09-01,123,2015-09-01,0.07145520575042982,-1.3910413874405874
