date_key,whole_market_label,000905.SH_label
2010-07-27,1.074181014865064,1.5760985107099157
2010-07-28,1.096961278853259,1.598808259898663
2010-07-29,1.1028476619909795,1.6064001186390375
2010-07-30,1.100877394467659,1.6057060360821365
2010-08-02,1.1183530866671871,1.6238575517573062
2010-08-03,1.1008521394541837,1.6063047406560185
2010-08-04,1.107922912934188,1.6191862867561917
2010-08-05,1.104387421171756,1.6238716100947213
2010-08-06,1.1214572915250967,1.644292149522553
2010-08-09,1.1310915889852549,1.6574195345509666
2010-08-10,1.098408484664777,1.6188213434419638
2010-08-11,1.106420175030499,1.6308621800843626
2010-08-12,1.093990103506755,1.6176738477192996
2010-08-13,1.1088867222041277,1.63669682043107
2010-08-16,1.1313442254798325,1.6596261941238137
2010-08-17,1.1384761766626248,1.6673820464840312
2010-08-18,1.1369516185127744,1.667240709910939
2010-08-19,1.141680980929319,1.668218439727284
2010-08-20,1.1224821129330473,1.6467203230172403
2010-08-23,1.125862947593583,1.6554123420065499
2010-08-24,1.1329167508021687,1.6670993533589944
2010-08-25,1.1111125902581795,1.647109566173191
2010-08-26,1.114925465361077,1.6541765399410484
2010-08-27,1.1190024920789883,1.6614602364414162
2010-08-30,1.1402307936937561,1.688526397821461
2010-08-31,1.1408690306133835,1.6964609767821348
2010-09-01,1.1322463081563,1.6835083596033482
2010-09-02,1.1481208950206316,1.7042985024814947
2010-09-03,1.1511981095049526,1.7123860883911903
2010-09-06,1.1610306704886304,1.7100242849375324
2010-09-07,1.1648198149576678,1.7160209381049119
2010-09-08,1.16647134636089,1.7246249536017673
2010-09-09,1.1498549892451546,1.7113239670743448
2010-09-10,1.1549288910339683,1.7214273069911052
2010-09-13,1.1668249960331745,1.7392013399360349
2010-09-14,1.1690707376385372,1.7424800963216875
2010-09-15,1.1518494818579943,1.7266904491448494
2010-09-16,1.1301379135312055,1.7011630520287615
2010-09-17,1.1302710171393315,1.6995503602535273
2010-09-20,1.1236244090378489,1.6885483610243122
2010-09-21,1.1238231464035655,1.6871417426540476
2010-09-27,1.143267232017429,1.7146653014217006
2010-09-28,1.136838643840635,1.710537914948255
2010-09-29,1.1304462887600406,1.6966853871883107
2010-09-30,1.1488043679940503,1.7118819896286426
2010-10-08,1.179728847305972,1.7346562865673065
2010-10-11,1.1992251940053817,1.7390906794704173
2010-10-12,1.2078997678032892,1.7426070282624075
2010-10-13,1.2181963556900246,1.748976588840677
2010-10-14,1.2075807775780871,1.7159376002306836
2010-10-15,1.2270503969243522,1.7184773518893306
2010-10-18,1.2172944190718211,1.7067256147629757
2010-10-19,1.2420619969063513,1.7368853580055874
2010-10-20,1.2472313072188832,1.740140416871617
2010-10-21,1.2444680654541385,1.7483685565921
2010-10-22,1.2480812089882796,1.757456598317623
2010-10-25,1.2748989133300315,1.7818735161954593
2010-10-26,1.2755456940644336,1.7913612250634547
2010-10-27,1.2609649663019857,1.7811270137646802
2010-10-28,1.261161518358677,1.7820915578422771
2010-10-29,1.2614358574926026,1.7932104302740055
2010-11-01,1.2880402208933508,1.821303885657422
2010-11-02,1.2843158358788331,1.8162019714999134
2010-11-03,1.269790832721161,1.8016898730064672
2010-11-04,1.2886786833853818,1.8268218262065568
2010-11-05,1.301889310895457,1.842660761814328
2010-11-08,1.3186853873608753,1.8648754992195493
2010-11-09,1.3179657777479024,1.871619306048132
2010-11-10,1.3184662921771795,1.8747053393685733
2010-11-11,1.316871139946505,1.8665330918221987
2010-11-12,1.2572395423145957,1.804167902586729
2010-11-15,1.2792195334302061,1.8319670314178258
2010-11-16,1.2427786953528024,1.7957746456822403
2010-11-17,1.2136428471204832,1.7529198124293761
2010-11-18,1.2281216407303628,1.7685613337845987
2010-11-19,1.249835578194633,1.7982496457140624
2010-11-22,1.2563942286457472,1.8118624520714914
2010-11-23,1.2426276110457335,1.7947422433603148
2010-11-24,1.2658922643749395,1.822576267835832
2010-11-25,1.2725265016905245,1.832830553194571
2010-11-26,1.2680309894642223,1.8266974950839256
2010-11-29,1.271877939804202,1.8307256017866256
2010-11-30,1.248448671452056,1.804107249509594
2010-12-01,1.2485606317367175,1.8052727097831682
2010-12-02,1.2531392573422688,1.8094949107582399
2010-12-03,1.248825096409459,1.8020487348886953
2010-12-06,1.2423291277038881,1.7854741084011345
2010-12-07,1.2557535526775365,1.7989480789894494
2010-12-08,1.250111578058989,1.7960705491961826
2010-12-09,1.2339081960687803,1.7751288050777547
2010-12-10,1.2479347345959868,1.789977034752296
2010-12-13,1.2775763376675302,1.8173514979540308
2010-12-14,1.2841705037085402,1.8298278424077865
2010-12-15,1.2787063868542865,1.8272769375158977
2010-12-16,1.2772014819139907,1.8246294202408522
2010-12-17,1.27799295433217,1.8268294768476818
2010-12-20,1.2635757180806915,1.8143561028953923
2010-12-21,1.2782445171295227,1.8257673906384935
2010-12-22,1.267861591087454,1.8164860950820523
2010-12-23,1.2537979438873805,1.7959817873353203
2010-12-24,1.2400438557659552,1.7804801281557538
2010-12-27,1.214360791595041,1.7516380621498304
2010-12-28,1.1960459718693202,1.726766553932722
2010-12-29,1.207772200183104,1.7439585821310666
2010-12-30,1.2094355155412244,1.7472694381564975
2010-12-31,1.2292127103397776,1.7694367918347411
2011-01-04,1.245688544417016,1.7844709202531441
2011-01-05,1.2441096410393677,1.7879110701758063
2011-01-06,1.2365088623644886,1.782429528442052
2011-01-07,1.2357915130333916,1.7771891596884921
2011-01-10,1.2122753993144142,1.7476980517430687
2011-01-11,1.2108027843336289,1.7423552295127878
2011-01-12,1.2179472058591947,1.7483230427093237
2011-01-13,1.2181763726128474,1.746911083889437
2011-01-14,1.199129875449843,1.7252708793681788
2011-01-17,1.1599062971673495,1.681227730911838
2011-01-18,1.1619848050638217,1.6849928330148214
2011-01-19,1.1838286397810476,1.7087616544333195
2011-01-20,1.1508464946674746,1.6717692357859009
2011-01-21,1.1606868124720768,1.6782165046814144
2011-01-24,1.1432334530614667,1.653999222480952
2011-01-25,1.1329779824359514,1.6410499922364186
2011-01-26,1.1476994361428947,1.6599810681642073
2011-01-27,1.1636848048580128,1.6774372951067726
2011-01-28,1.169602898412934,1.6874693977351378
2011-01-31,1.1814625013849172,1.7011500393565862
2011-02-01,1.1836362801871887,1.7054177790012752
2011-02-09,1.1756285979454226,1.700902766407204
2011-02-10,1.2009107678765127,1.727499822706458
2011-02-11,1.207519732559536,1.7385998675637002
2011-02-14,1.230889304152874,1.7563428011699398
2011-02-15,1.2307635554722605,1.7557659288079894
2011-02-16,1.2437104216881782,1.7726624738697319
2011-02-17,1.2468818153626473,1.7796664209532396
2011-02-18,1.2372238935692175,1.770390411764979
2011-02-21,1.2527274364650312,1.7907308430072786
2011-02-22,1.2252727330724782,1.7639586727835561
2011-02-23,1.2355494343546565,1.777976766970371
2011-02-24,1.238774640676228,1.7877042387724935
2011-02-25,1.2393061799668212,1.7887121380440427
2011-02-28,1.2498621129377188,1.8010365314749497
2011-03-01,1.2539473437166617,1.8063665368019337
2011-03-02,1.2511094831670169,1.8036884472388093
2011-03-03,1.2394737639021693,1.7839819251283608
2011-03-04,1.251719562190079,1.7956069281497418
2011-03-07,1.2663951167761165,1.809448203339342
2011-03-08,1.2699425904940884,1.8147840131027384
2011-03-09,1.2713955321610964,1.8178051488378881
2011-03-10,1.260719394082367,1.8104519323934452
2011-03-11,1.256762164043818,1.8097400889222652
2011-03-14,1.2631891926134515,1.8194770530475517
2011-03-15,1.2491088524430347,1.8081005336104234
2011-03-16,1.2616184573593558,1.8212711898600795
