,count,mean,std,min,5%,50%,95%,max,MaxDdAmp,MaxDdRecBars,MaxDdEnd,MaxDdStart,LongDdRecBars,LongDdStart,AnnStd,AnnSharpe
2004,7.0,-0.19627248201566852,0.35234398294386365,-0.7258223668885778,-0.6592176867884921,-0.1713446670932457,0.2282562526235424,0.29798771298570853,-1.6718950870953881,6,False,2004-06-01,6,2004-06-01,1.2205553603999075,-0.16080588261999115
2005,12.0,-0.08312429168363307,0.25492854300738715,-0.36924577542839077,-0.35633382203637554,-0.10019831116690894,0.3270995762009399,0.38049564355274457,-1.5901155786214956,7,False,2005-05-01,7,2005-05-01,0.8830983775766044,-0.09412800860504633
2006,12.0,-0.1137378993243564,0.0956994203239417,-0.3186620657144885,-0.2679102953549992,-0.1066420328667146,-0.002131217760914149,0.027066474044848583,-1.260414106334541,11,False,2006-01-01,11,2006-01-01,0.33151251651191327,-0.3430877980749457
2007,12.0,-0.13159064908284854,0.14880061383247392,-0.3089607648745927,-0.30205522624986425,-0.15261773695106545,0.10248936451994314,0.14419712662303913,-1.2826825488918256,11,False,2007-01-01,11,2007-01-01,0.5154604467105622,-0.2552875781693846
2008,12.0,-0.143702024324697,0.2415998456481142,-0.50666607657036,-0.4915947308530508,-0.1573613916692831,0.22303274230536846,0.2847926401517249,-1.764094898335176,8,False,2008-04-01,8,2008-04-01,0.8369264155266646,-0.17170210147360157
2009,12.0,-0.1293347047653254,0.16054512597865359,-0.36133660392706457,-0.34576075525696676,-0.17634183027435213,0.08798454653451858,0.16217670757913397,-1.4958881638403998,11,False,2009-01-01,11,2009-01-01,0.5561446302051481,-0.23255588158356758
2010,12.0,-0.06564364411496881,0.11154138509940888,-0.18210874968921528,-0.18194031104052832,-0.09102408062238371,0.10313361505166922,0.11467143092015497,-0.802995200205709,11,False,2010-01-01,11,2010-01-01,0.38639069227756456,-0.16988929968275107
2011,12.0,-0.07272572106990183,0.10351912644801975,-0.22764772833747016,-0.2086081562180385,-0.08506201027240833,0.08681917901163068,0.16381622752944092,-0.7839115348812253,11,False,2011-01-01,11,2011-01-01,0.3586007731262346,-0.2028041390872878
2012,12.0,0.0353323470397129,0.09296223629186282,-0.1462141260092235,-0.09809205746318013,0.04440932739420261,0.1565148973497401,0.21971554103077048,-0.203908241265486,5,False,2012-07-01,5,2012-07-01,0.3220306328854595,0.10971734807688303
2013,12.0,-0.11471236150834663,0.11321809027954303,-0.25621046859870983,-0.2489636975381258,-0.13790941270125104,0.056135960002408725,0.0582747550151256,-1.1978551007484377,11,False,2013-01-01,11,2013-01-01,0.3921989694001771,-0.29248511714292846
2014,12.0,-0.058407489289722336,0.1282936760000277,-0.26244758486927316,-0.23284209954773127,-0.09290912877056506,0.14080037652378427,0.18507233375960766,-0.49227044173746926,11,False,2014-01-01,11,2014-01-01,0.4444223302436557,-0.13142339012916
2015,12.0,0.011817239573868392,0.14787008020545706,-0.29811152778398464,-0.21945518308406867,0.006330206201737559,0.20142161158130922,0.21320163722071087,-0.20741335286179208,5,True,2015-01-01,4,2015-01-01,0.512236983670273,0.023069867952906636
2016,12.0,-0.08349458506572173,0.18872398816516028,-0.37551597171003187,-0.31753132756619307,-0.09547652238065872,0.24296062762906748,0.25043535340170947,-1.01221498842364,10,False,2016-02-01,10,2016-02-01,0.6537590722181702,-0.12771461018877947
2017,12.0,-0.07530575739968552,0.08350227715258345,-0.19724340458630785,-0.18588575270142893,-0.08798292927944418,0.04511083831483121,0.08248555788606045,-0.7585968597141566,11,False,2017-01-01,11,2017-01-01,0.2892603731519447,-0.2603390038501001
2018,12.0,-0.10491973098171119,0.07763903056844983,-0.2596543565447881,-0.2310306985427319,-0.0843504561209232,-0.007437434397854069,0.019703710707419945,-1.1783141409067461,11,False,2018-01-01,11,2018-01-01,0.26894949118989653,-0.3901094235855266
2019,12.0,-0.1213764945025982,0.10117577437729153,-0.2688879992030557,-0.24643166487221918,-0.1366324127282899,0.025577371246989875,0.06466941148743112,-1.4227458997312485,11,False,2019-01-01,11,2019-01-01,0.3504831634331886,-0.34631191214335116
2020,12.0,-0.07047780895151227,0.1526710420047362,-0.28914292381889883,-0.26871176339877273,-0.06551635601534,0.1438316571840826,0.23356305365051386,-0.8496391845796545,11,False,2020-01-01,11,2020-01-01,0.5288680031933706,-0.13326162393254748
2021,12.0,-0.0935846516043838,0.08266845109758732,-0.24331022495269375,-0.2001796555979339,-0.10135087544744045,0.027537697313177116,0.06264001445493449,-1.0098768647853937,11,False,2021-01-01,11,2021-01-01,0.28637191496808867,-0.3267940978598136
2022,12.0,-0.08218537782463492,0.1842220190303392,-0.5092059606880184,-0.3326773037046966,-0.08655709954221832,0.17234780521282544,0.2025665249091292,-1.336414456993321,10,False,2022-02-01,10,2022-02-01,0.6381637936669361,-0.12878414388317408
2023,12.0,-0.14894104832372698,0.09968971955122254,-0.3407697646450375,-0.30022005751523334,-0.13426532985289952,-0.024727442572690474,0.023520417422396647,-1.6109021271409247,11,False,2023-01-01,11,2023-01-01,0.34533531851001975,-0.4312939926513932
2024,12.0,-0.12524267422988122,0.21034868558752076,-0.4071706675887037,-0.3808026848894078,-0.12977031327503863,0.17563244705857464,0.43256766286985776,-1.514490839919052,11,False,2024-01-01,11,2024-01-01,0.7286692214858344,-0.1718786392191755
2025,12.0,-0.05005182179126764,0.14103378844969058,-0.23276520609843088,-0.22648987120952072,-0.06167671220939646,0.15921307498268067,0.25,-0.9355547251000793,11,False,2025-01-01,11,2025-01-01,0.4885553743575695,-0.10244861569086974
