交易日期,count,mean,std,min,5%,50%,95%,max,MaxDdAmp,MaxDdRecBars,MaxDdEnd,MaxDdStart,LongDdRecBars,LongDdStart,AnnStd,AnnSharpe
1,21.0,-0.0044718225610917125,0.1818730055428988,-0.44515243876413,-0.29095290100338744,-0.0007322044852137138,0.23879453142738027,0.3195714400574375,-0.9431640275587643,12,False,2013-01-01,12,2013-01-01,0.6300265722511136,-0.007097831675755654
2,21.0,-0.03858805362296563,0.18481561635950622,-0.37836591111139184,-0.2881137255622198,-0.06548924752718553,0.18322565643992444,0.4094449250938122,-0.9963093430157909,12,False,2013-02-01,12,2013-02-01,0.6402200751336451,-0.060273107829226416
3,21.0,0.004481855512482642,0.19149209522277966,-0.34028896820282445,-0.22306902272615342,0.013059785340707593,0.3072714320471538,0.4096052758225516,-1.2035111350827665,19,False,2006-03-01,19,2006-03-01,0.6633480763473437,0.006756415933489258
4,21.0,-0.013038855501502432,0.1973605471991539,-0.41250619539496036,-0.23065025519606386,-0.028460531999372093,0.2713307620733448,0.3726981874002109,-0.9892634616920892,17,False,2008-04-01,17,2008-04-01,0.6836769903170601,-0.019071660573885294
5,21.0,0.009876934957381562,0.10404580969628338,-0.21984180715045917,-0.15626985145806802,0.004133244714997356,0.1598693349540587,0.17329596472761954,-0.387217305061964,12,True,2006-05-01,11,2006-05-01,0.3604252574172107,0.027403559418003005
6,21.0,-0.006894025103821826,0.205120579617398,-0.36982693833045127,-0.2803095850413889,-0.060532608772702494,0.2536338140538847,0.42799605858029466,-0.7053078989361586,9,False,2016-06-01,9,2016-06-01,0.7105585311506207,-0.009702262096069978
7,21.0,0.020675315936486752,0.09887764711068389,-0.15513990536666414,-0.11867037597249741,0.026896606180249593,0.1707974734631972,0.19468162211544418,-0.23435478039335064,7,True,2011-07-01,6,2011-07-01,0.342522217057141,0.060361970426688005
8,21.0,-0.003699715099962625,0.1275292439622188,-0.2667971550897458,-0.22845867590858426,0.004240260625338566,0.15650766452767811,0.2004747891504929,-0.52274026311083,5,False,2020-08-01,10,2007-08-01,0.44177425998681885,-0.008374673300506492
9,21.0,0.014708133323739072,0.16188102827786885,-0.26146797608841127,-0.24435293187459797,-0.009753547979715123,0.29704230704608026,0.490554425346405,-0.5502250416401335,14,False,2011-09-01,14,2011-09-01,0.5607723315175259,0.02622835061055325
10,22.0,-0.09327816666782941,0.18407990045892517,-0.5256910026954786,-0.47740780328393834,-0.0666334067346524,0.14409354320681958,0.23896717036232326,-1.9179855109533288,21,False,2004-10-01,21,2004-10-01,0.6376714804941597,-0.14627934527594688
11,22.0,-0.035203249145043906,0.1898723497211558,-0.4286840140373641,-0.30563138777323134,-0.021954524281623658,0.30516121867246376,0.34915798583644314,-1.209160844057679,21,False,2004-11-01,21,2004-11-01,0.6577371133390564,-0.053521761857608624
12,21.0,-0.015109391180738993,0.18858114919774857,-0.33868123912257636,-0.29600886133907134,0.05411964843945965,0.2378996597019199,0.3419588890173997,,21,False,2004-12-01,19,2005-12-01,0.6532642635204546,-0.02312906433808911
