,count,mean,std,min,5%,50%,95%,max,MaxDdAmp,MaxDdRecBars,MaxDdEnd,MaxDdStart,LongDdRecBars,LongDdStart,AnnStd,AnnSharpe
whole_market,254.0,-0.013778910385917598,0.1706502233750607,-0.5256910026954786,-0.2871490409916278,-0.00903900233972375,0.24830915124591366,0.49055442534640503,-5.425882732753411,230,False,2006-09-01,230,2006-09-01,0.03709203200168156,-0.3714789846318728
000016.SH,254.0,-0.02222046276625425,0.23244997585378951,-0.7488321283289645,-0.4130986845189176,-0.010693968514177227,0.3598381477994219,0.5782093914585531,-7.451176403749118,230,False,2006-09-01,230,2006-09-01,0.050524644929465214,-0.4397945358601741
000300.SH,242.0,-0.01808018519237548,0.23390501087352622,-0.7446765256439475,-0.4057475449933689,-0.0073173209907909575,0.37475716682607885,0.7188617348890263,-5.998639511906811,230,False,2006-09-01,230,2006-09-01,0.05208617499275365,-0.3471206168410492
000510.SH,242.0,-0.02199511167973813,0.22754305635808184,-0.5712177356723098,-0.40416621906321515,-0.01341460555949395,0.37818265215897084,0.6971922077549884,-7.5457505412028,230,False,2006-09-01,230,2006-09-01,0.050669489326423275,-0.43408986299508756
000688.SH,62.0,0.009613909985866842,0.21766483061429898,-0.5600624630642729,-0.32804767870122614,0.011480790224562557,0.3248337334730021,0.47191902108327083,-0.8276483247650389,32,True,2021-09-01,31,2021-09-01,0.09575975835359546,0.10039613874512113
000852.SH,242.0,-0.0011016826952548937,0.231123737071338,-0.8527519027817619,-0.3890561829384027,0.017569818165849373,0.39269055326204916,0.5254908626769496,-4.868946310099909,200,False,2009-03-01,200,2009-03-01,0.05146683847908714,-0.021405680391705966
000905.SH,242.0,-0.018654429889015157,0.215696741104384,-0.567891484493263,-0.36855017334115014,-0.010902709541399923,0.3349096265245587,0.594005472720118,-6.157084542751295,200,False,2009-03-01,200,2009-03-01,0.048031541353358846,-0.38837874786857435
399006.SZ,177.0,-0.03364314826056231,0.23361814810946344,-0.6241135535709433,-0.3819143761010495,-0.06343460236140665,0.34104099934436305,0.5025495673967375,-8.597185915808982,170,False,2011-09-01,170,2011-09-01,0.06082898457545573,-0.5530775911412665
932000.CSI,134.0,0.02850389595751684,0.21074745843800027,-0.4682991496100275,-0.2777698731195563,0.013697618993313824,0.38230681204161077,0.5364118199235715,-1.4509432709451962,55,True,2020-10-01,54,2020-10-01,0.06306676720585819,0.45196380313067885
