,"mycorr(signal,label)",tcount(signal),tmean(signal),tstd(signal),tcount(label),tmean(label),tstd(label)
count,1595.0,1595.0,1595.0,1595.0,1595.0,1595.0,1595.0
mean,-0.01358147422931784,20.17115987460815,0.0005429566761982783,0.006455584113219788,20.17115987460815,0.0005164268685471944,0.01519406974064508
std,0.2271554860394979,2.462806561016045,0.002099723462168706,0.0015411557574094633,2.462806561016045,0.0042841772253955045,0.0075916384199604565
min,-0.8527519027817619,4.0,-0.005716365169545454,0.0017853745430334422,4.0,-0.0186959373240608,0.002669139646944737
5%,-0.39299594619377615,16.0,-0.0026733602190714286,0.004263332269164751,16.0,-0.00590057176613332,0.0068720303642756655
50%,-0.006295615319150849,21.0,0.00041470516619047617,0.006261142330328734,21.0,0.0003281326704329134,0.013123301240530337
95%,0.37343509375717776,23.0,0.004359699923516667,0.00944591012825497,23.0,0.007882672704324209,0.030688102675847904
max,0.7188617348890263,23.0,0.007880075853333333,0.014143949159101714,23.0,0.017797300250022,0.05516544297477813
