交易日期,count,mean,std,min,5%,50%,95%,max,MaxDdAmp,MaxDdRecBars,MaxDdEnd,MaxDdStart,LongDdRecBars,LongDdStart,AnnStd,AnnSharpe
2004,3.0,0.1348290931334087,0.3650116797965155,-0.2866295954536167,-0.22377074700651506,0.3419588890173997,0.3484380761545388,0.34915798583644314,0.0,0,True,NA,0,NA,1.2644375495272542,0.10663167444198283
2005,12.0,-0.05648964745634146,0.20356450783996582,-0.48744876159079736,-0.422756758797607,-0.02423689265376952,0.18916812100578181,0.19643113325294087,-1.2046795097057565,8,False,2005-04-01,8,2005-04-01,0.7051681403931477,-0.08010805398106495
2006,12.0,0.07586167503356651,0.22389882347634166,-0.24022799604417938,-0.2039174256273036,0.10697676624455907,0.3615975139870671,0.42799605858029466,-0.5805785952573892,3,False,2006-09-01,3,2006-09-01,0.7756082760318381,0.0978092645190553
2007,12.0,-0.046453026613122665,0.13467274964924006,-0.2803095850413889,-0.2551190712816436,-0.023909834245043244,0.1191689417119533,0.1878760797424015,-0.7453123990998735,11,False,2007-01-01,11,2007-01-01,0.4665200895749749,-0.09957347529330171
2008,12.0,-0.03149654702679327,0.2256635713658244,-0.5256910026954786,-0.36129837026094813,-0.006827568220019329,0.2463388344782368,0.3726981874002109,-0.7085444259823753,3,False,2008-09-01,3,2008-09-01,0.7817215420461062,-0.04029126144375281
2009,12.0,-0.035824794297290984,0.2550450955882012,-0.4286840140373641,-0.4197862137840421,-0.030467811347435852,0.3155872085772745,0.4094449250938122,-1.346701162506029,9,False,2009-03-01,9,2009-03-01,0.8835021275600508,-0.04054862255536109
2010,12.0,-0.006248453601342655,0.1743846062288662,-0.2667971550897458,-0.24274668228976998,0.010337940171972135,0.22773646868202346,0.24544202511854468,-0.45548069614341824,6,False,2010-06-01,6,2010-06-01,0.6040859960925767,-0.010343649152206258
2011,12.0,-0.010854831201152106,0.18202771617509805,-0.22071979877817602,-0.21616884788397359,-0.02979591632590979,0.2833057457554834,0.3195714400574375,-0.5301785161559722,3,False,2011-09-01,6,2011-02-01,0.6305625056019939,-0.017214520534786747
2012,12.0,-0.07866298809245502,0.14523855243099093,-0.33868123912257636,-0.30360050560962276,-0.055633951647571636,0.10288467646946142,0.18707853199262406,-0.9437117800086496,11,False,2012-01-01,11,2012-01-01,0.5031211040564652,-0.15635000690336118
2013,12.0,-0.07456324251187,0.1393241987016883,-0.34028896820282445,-0.2969374225398972,-0.025911529535003027,0.10257409962605803,0.11187018780846973,-1.1015973072459033,10,False,2013-02-01,10,2013-02-01,0.48263318175029185,-0.15449257392842927
2014,12.0,-0.03582496750055381,0.13662626255980645,-0.24676105641806445,-0.24237390356044186,-0.04763512920165932,0.13509691941977173,0.15958960187260907,-0.42309146085675,11,False,2014-01-01,11,2014-01-01,0.4732872568036604,-0.0756939194655214
2015,12.0,0.07378048493767608,0.1420729525121424,-0.2072421980258616,-0.15492739324185273,0.09494799227602616,0.2418735662416144,0.24542582787185913,-0.2484149605395891,5,True,2015-02-01,4,2015-02-01,0.4921551442647019,0.14991306257279272
2016,12.0,-0.07569954192248314,0.16637704921797067,-0.44515243876413,-0.3587811465030794,-0.05410624470618762,0.11264659423148726,0.1536414075045196,-0.46324206430566806,11,False,2016-01-01,11,2016-01-01,0.5763470049178259,-0.13134368926455373
2017,12.0,-0.04581822700144652,0.15156002012635222,-0.29600886133907134,-0.26551820713869806,-0.03344390624171809,0.13581179271518848,0.1461591668705212,-0.557017619783192,9,False,2017-03-01,9,2017-03-01,0.5250193105100073,-0.08726960339218454
2018,12.0,0.02393486124588362,0.14724424076568984,-0.2284484632269102,-0.1824789169432239,0.058610192766456126,0.2041850772564695,0.30830518660933776,-0.26120744088005576,8,True,2018-03-01,7,2018-03-01,0.5100690122561585,0.046924750711700644
2019,12.0,-0.04283991014891539,0.12112602385230363,-0.29095290100338744,-0.24057814567878189,-0.020812360652916553,0.0733545386270635,0.0831895390072958,-0.37069792902046084,11,False,2019-01-01,11,2019-01-01,0.41959285486197917,-0.1020987599109788
2020,12.0,0.044572847597460476,0.12305806747017177,-0.24821341316129386,-0.11708401248494625,0.021640135685899148,0.19728854728121611,0.2004747891504929,-0.24821341316129386,2,False,2020-10-01,2,2020-04-01,0.4262856502791528,0.10456098526486168
2021,12.0,-0.037812264780204954,0.09895418758456506,-0.1896580638398803,-0.16350375719543095,-0.028569771452468168,0.1085442853185665,0.14594320819327483,-0.5818168864654552,7,False,2021-05-01,7,2021-05-01,0.34278736103633617,-0.11030822334256593
2022,12.0,0.01463677660794791,0.21916377881056454,-0.37836591111139184,-0.34002402254048597,0.020323042829735065,0.31516718695620405,0.4096052758225516,-0.3783659111113922,2,True,2022-01-01,3,2022-03-01,0.7592056001573702,0.01927906828521017
2023,12.0,-0.019631081518218855,0.11913265473795792,-0.21765640209714568,-0.16321408772858914,-0.046871978863038344,0.1529430646338378,0.16113202977178967,-0.4569693516627207,10,False,2023-02-01,10,2023-02-01,0.4126876216934085,-0.0475688644056377
2024,12.0,0.03298099325262614,0.19148493207164088,-0.22845867590858426,-0.2119679670680127,0.015488323860207251,0.3086776256306143,0.490554425346405,-0.46601722845619653,4,True,2024-05-01,3,2024-05-01,0.6633232624639144,0.04972084520316419
2025,11.0,0.007735645685551335,0.12351464403200191,-0.23065025519606386,-0.18955527709871092,0.004863597474818206,0.14468594696155174,0.15792415793036693,,11,False,2025-01-01,10,2025-01-01,0.4278672778844226,0.018079544955622716
