,count,mean,std,min,5%,50%,95%,max,MaxDdAmp,MaxDdRecBars,MaxDdStart,LongDdRecBars,LongDdStart,MaxDdEnd,AnnStd,AnnSharpe
gain_whole_market_simple,5129.0,0.0021841585622083583,0.07570026651213248,-0.7580448309188288,-0.10617693803882583,0.0012659172225877,0.11432560666233677,0.9052296009984923,-3.293497647378368,1225,2015-12-22,1224,2015-12-22,True,1.196926308300545,0.45620155289876074
gain_000852.SH_simple,5129.0,0.000570298769520047,0.01855407884016694,-0.1139433136770021,-0.02817748507039352,0.0,0.030065591789531665,0.1114371042979185,-0.6744220376667789,1685,2008-08-18,1684,2008-08-18,True,0.29336574510631375,0.48599638764349823
bench_000852.SH,5129.0,0.0005893208733550359,0.018553484279248245,-0.1139433136770021,-0.03091805677724838,0.0010779996963381,0.027228485144210553,0.1114371042979185,-1.167478120488635,446,2008-01-15,2544,2015-06-12,True,0.29335634427275975,0.502222710417242
