lag,mean
1,0.09148054345859057
2,0.024379940378034176
3,-0.016773655577148276
4,-0.035796664351451846
5,-0.06459660735243468
6,-0.06637282149669341
7,-0.040610279155418684
8,-0.0249415062493922
9,-0.07018802360923417
10,-0.0412479957140728
