交易日期,whole_market,000016.SH,000300.SH,000510.SH,000688.SH,000852.SH,000905.SH,399006.SZ,932000.CSI
2004-10-01,-0.2866295954536167,-0.2866295954536167,,,,,,,
2004-11-01,0.06252839038282643,0.06252839038282643,,,,,,,
2004-12-01,0.4044872794002261,0.4044872794002261,,,,,,,
2005-01-01,0.4037550749150124,0.4037550749150124,,,,,,,
2005-02-01,0.5869807313549369,0.5869807313549369,,,,,,,
2005-03-01,0.7834118646078778,0.7834118646078778,,,,,,,
2005-04-01,0.8197255712097967,0.8197255712097967,,,,,,,
2005-05-01,0.7795145891277719,0.7795145891277719,,,,,,,
2005-06-01,0.40968765079732067,0.40968765079732067,,,,,,,
2005-07-01,0.34929414757713917,0.34929414757713917,,,,,,,
2005-08-01,0.2340873474865935,0.2340873474865935,,,,,,,
2005-09-01,0.22582454426107917,0.22582454426107917,,,,,,,
2005-10-01,-0.2616242173297182,-0.16651182979481854,-0.7446765256439475,-0.09858270770610852,,-0.8527519027817619,-0.3488962977662713,,
2005-11-01,-0.3849539384959598,-0.26512493154815997,-0.820597596614971,-0.23151691972100225,,-1.027323330219654,-0.4835050914203288,,
2005-12-01,-0.27338849007587135,0.08295870320825616,-0.5953299875402396,0.07034568148949505,,-1.193142804213838,-0.6350722203673473,,
2006-01-01,-0.16832022489842202,0.3070402425104831,-0.3773983996637299,0.32625725088732466,,-1.289464454157204,-0.7113339411133011,,
2006-02-01,-0.32863531288615744,0.06007946857585686,-0.5601039525245334,0.26762576940971033,,-1.547124237678968,-0.7669517892571702,,
2006-03-01,-0.021363880839003646,0.15300532542292886,-0.3507174921454408,0.5318961311529737,,-1.1150588688773202,-0.22924267679247723,,
2006-04-01,0.24996688123434113,0.44516755729982793,0.07460885155424174,0.9219616680770593,,-0.8278262747791696,-0.26737557302457116,,
2006-05-01,0.2541001259493385,0.3101336698708958,0.10073857558177987,0.9337787588368094,,-0.7272457706567198,-0.2502027809303903,,
2006-06-01,0.6820961845296333,0.5270979924932626,0.4505018674232314,1.4185208795973239,,-0.2327406856996972,0.3438026917897278,,
2006-07-01,0.7909814518413021,0.6056623136479365,0.6554324330796444,1.589813881315365,,-0.34503509502487323,0.5457355491441198,,
2006-08-01,0.9204878985382359,0.9281971316947519,0.7751695492718067,1.636824821558469,,-0.16916996491004688,0.5281197780318807,,
2006-09-01,1.2175302055843162,1.3904875195790813,1.192413121026568,2.015676806271343,,-0.0003626633694873982,0.5861380673697582,,
2006-10-01,1.0513883834755116,1.3229734077656885,0.9598538318772085,1.7673462804974378,,-0.11235441246841461,0.41582463266131964,,
2006-11-01,0.8771796063711064,1.2555928167724861,0.9486394520384545,1.6475050851842468,,-0.6044551052930913,0.2353176061091174,,
2006-12-01,0.636951610326927,0.9505622968409098,0.6745293508973047,1.3673892582228613,,-0.9642832935363714,0.2532622621656121,,
2007-01-01,0.8248276900693285,0.967158364872607,0.8777612864480887,1.782970968234334,,-0.8406524781631816,0.4336021319104758,,
2007-02-01,0.7017514159140845,0.795946342115266,0.8206874228984811,1.6334401948362685,,-0.9312619813497853,0.28664692402587344,,
2007-03-01,0.5462025235117893,0.6376745031187594,0.7418332870818516,1.4608889354195302,,-1.0565327596335283,0.04385047452801458,,
2007-04-01,0.5273942609350855,0.6318246880388183,0.7328698614164763,1.2881710460426379,,-1.0648167006862699,0.14562423281944575,,
2007-05-01,0.44641521941590623,0.5092246360051265,0.5044760779508443,1.0912031070685784,,-1.0288544294438857,0.2527285284545488,,
2007-06-01,0.1661056343745173,0.4270398861681822,0.2096493887622149,0.6348276726263187,,-1.0919678541036313,-0.2523190986248172,,
2007-07-01,0.2055581340254444,0.36674893577838924,0.20142754364681095,0.6128458726560017,,-0.8926306463139606,-0.16389921268433844,,
2007-08-01,0.26851214462157663,0.37376864820774264,0.18587852055771642,0.6151644765731091,,-0.7362618915670429,0.0007127922920385499,,
2007-09-01,0.239500738708194,0.3981288324482923,0.20680768599175636,0.45941935049748295,,-0.6983468391883152,-0.0718035132525658,,
2007-10-01,0.25287876188470637,0.21174494624189927,0.15643742579925618,0.4741376407851023,,-0.48857197975994493,0.00734759931289973,,
2007-11-01,0.3140239419022161,0.3951353642290977,0.07506739688552262,0.30007747998335976,,-0.4055291698634369,0.3020704612322183,,
2007-12-01,0.07951529096945506,-0.1111905987619275,-0.3741402289472009,-0.11537418279917017,,-0.22966296346711962,0.3246462517783743,,
2008-01-01,-0.014699820899863422,-0.21381932421962588,-0.3958787611339779,-0.1336793048132876,,-0.39437690696362315,0.16095701558687822,,
2008-02-01,-0.2414951282598321,-0.6422129533181987,-0.8017786044648484,-0.552473227288381,,-0.3199062748499949,0.20559724157794323,,
2008-03-01,-0.2382850805918835,-0.924683383886659,-0.8512180124348937,-0.490086120051861,,-0.19540258593867627,0.3666665223083533,,
2008-04-01,0.13441310680832738,-0.73366444523569,-0.5772680304366034,-0.09479278421538101,,0.31742269041348076,0.8570699264715113,,
2008-05-01,0.06484964610314574,-0.7786825003323433,-0.6912952651502967,-0.20952304636167096,,0.30508594129987415,0.7953649240158462,,
2008-06-01,0.20780355546340407,-0.5736776832529908,-0.5197747471119128,-0.05580440841196188,,0.3832337344029523,0.9017427046466142,,
2008-07-01,0.34812650961075875,-0.4697334645983932,-0.41974696705902426,0.07692218558341904,,0.5920482265562708,1.0578443905272021,,
2008-08-01,0.3312613255027715,-0.526535279021701,-0.4453705125603727,-0.004540837017883076,,0.6888628465058746,1.0405922325636203,,
