,count,mean,std,min,5%,50%,95%,max,MaxDdAmp,MaxDdRecBars,MaxDdStart,LongDdRecBars,LongDdStart,MaxDdEnd,AnnStd,AnnSharpe
gain_whole_market_1,5129.0,0.002046504666093635,0.060372101314999066,-0.7580448309188288,-0.07828990499477252,0.0,0.08816802492693342,0.7137178312167738,-3.0554632438336107,1168,2015-12-22,1167,2015-12-22,True,0.9545667364292179,0.5359773675303909
gain_whole_market_2,5129.0,0.0014761309815665166,0.03837292148055757,-0.41704664830292043,-0.04092342434766019,0.0,0.048062676939908795,0.4813422912793534,-2.225666766354132,1665,2015-12-02,1664,2015-12-02,True,0.6067291617668127,0.6082330776997684
gain_000852.SH_1,5129.0,0.0005778538907933885,0.011193481099513689,-0.1139433136770021,-0.01374352831883016,0.0,0.016478504196383244,0.0871620735038587,-0.3404774011599174,923,2011-08-09,922,2011-08-09,True,0.1769844761025456,0.8162494015274218
gain_000852.SH_2,5129.0,0.00026640359925579485,0.005175350489206582,-0.0490393019796666,0.0,0.0,0.0,0.0806968076435995,-0.17565689805724427,1478,2009-04-23,1477,2009-04-23,True,0.08182947617779733,0.8138986453883649
