交易日期,000852.SH
2005/11/30,0.00469380695162252
2005/12/1,-0.004598039
2005/12/2,-0.016498977
2005/12/5,-0.033913302
2005/12/6,0.003355728934718427
2005/12/7,0.010658314211291682
2005/12/8,-0.003718748
2005/12/9,0.017808436054370665
2005/12/12,0.007754812437680811
2005/12/13,-0.00095999
2005/12/14,0.011207071170316829
2005/12/15,-0.00868148
2005/12/16,0.008873815451209023
2005/12/19,0.002473020144159879
2005/12/20,0.0011863179404880439
2005/12/21,-0.014038026
2005/12/22,0.004290187640500771
2005/12/23,0.009400477258340879
2005/12/26,0.0077449922631658
2005/12/27,0.0008555438572158834
2005/12/28,0.00253855415092043
2005/12/29,0.009808739028844488
2005/12/30,-0.01138568
2006/1/4,0.011549911025721596
2006/1/5,0.01533002906739575
2006/1/6,0.008190920791697606
2006/1/9,0.015732245268950694
2006/1/10,0.0028043559072933656
2006/1/11,-0.009310486
2006/1/12,0.021228165848459286
2006/1/13,0.005320281666301179
2006/1/16,-0.01314132
2006/1/17,-0.001412287
2006/1/18,0.01924076241803792
2006/1/19,0.005978615525324192
2006/1/20,-0.006198696
2006/1/23,0.0011768653847600277
2006/1/24,-0.006495499
2006/1/25,-0.017995976
2006/2/6,0.024205634302946887
2006/2/7,0.00633523974287029
2006/2/8,0.01028292284293039
2006/2/9,-0.011212062
2006/2/10,0.01162291759604653
2006/2/13,0.0014906352000791415
2006/2/14,0.008191128052854942
2006/2/15,0.001796926456581944
2006/2/16,-0.023539148
2006/2/17,-0.006905627
2006/2/20,-0.00898584
2006/2/21,0.020628588448887226
2006/2/22,0.0013276023496275188
2006/2/23,0.0014235805993546577
2006/2/24,0.006224681666582019
2006/2/27,-0.000151098
2006/2/28,0.003125238283475647
2006/3/1,0.007845363055487064
2006/3/2,-0.020220137
2006/3/3,6.536090113226715e-05
2006/3/6,-0.002563167
2006/3/7,-0.029547881
2006/3/8,0.0010905187789896225
2006/3/9,-0.006696756
2006/3/10,0.0015598158511144304
2006/3/13,0.008177359426743813
2006/3/14,0.003488999781949432
2006/3/15,0.007717409059098388
2006/3/16,0.001317340933421699
2006/3/17,-0.005035168
2006/3/20,0.009924020045132556
2006/3/21,0.003055786934063644
2006/3/22,0.010003141114279333
2006/3/23,0.011752895238483696
2006/3/24,-0.010656029
2006/3/27,0.010494929889884746
2006/3/28,0.0024351923981150705
2006/3/29,-0.002424452
2006/3/30,-0.007644283
2006/3/31,-0.000822894
2006/4/3,0.014143594576218894
2006/4/4,0.01158439151640286
2006/4/5,0.008148290582020068
2006/4/6,-0.002810228
2006/4/7,0.009531047821000102
2006/4/10,0.019395883337114502
2006/4/11,0.0019058204615858576
2006/4/12,0.004277396805559603
2006/4/13,-0.026734286
2006/4/14,0.01730179113753477
2006/4/17,0.01129622042050005
2006/4/18,-0.001863726
2006/4/19,-0.003412314
2006/4/20,-0.012468173
2006/4/21,0.001780431169886024
2006/4/24,-0.022470753
2006/4/25,-0.005705412
2006/4/26,0.011232055488017837
2006/4/27,0.0014526152236336342
2006/4/28,0.008008862911534378
2006/5/8,0.028503479306840565
2006/5/9,0.029386743756876908
2006/5/10,0.014664826681367036
2006/5/11,-0.004296597
2006/5/12,0.03114103946561497
2006/5/15,0.03929574527644417
2006/5/16,-0.025722541
2006/5/17,0.019199372752387357
2006/5/18,0.017803877118580013
2006/5/19,0.02827291945113314
2006/5/22,0.02572296496649433
2006/5/23,-0.038652487
2006/5/24,-0.017164078
2006/5/25,0.018506672564700868
2006/5/26,0.025907803587395965
2006/5/29,0.024086361683170094
2006/5/30,0.016479934838272176
2006/5/31,0.004339360654835739
2006/6/1,0.043335438157899205
2006/6/2,0.007466734611613898
2006/6/5,0.027291096990877672
2006/6/6,-0.000702956
2006/6/7,-0.060467737
2006/6/8,-0.002171169
2006/6/9,-0.022905277
2006/6/12,-0.001920977
2006/6/13,0.006850778279426555
2006/6/14,-0.001525641
2006/6/15,0.0078086749655236955
2006/6/16,0.021776506119488413
2006/6/19,0.011126811735852126
2006/6/20,0.01282671222153593
2006/6/21,-0.005281462
2006/6/22,0.0018833059529827462
2006/6/23,0.01309246117661151
2006/6/26,0.016582987376735796
2006/6/27,0.0043257699930576935
2006/6/28,0.0009202130716186935
2006/6/29,0.016984149617522794
2006/6/30,-0.009271151
2006/7/3,0.014579065852519299
2006/7/4,-0.006004914
2006/7/5,-0.002108781
2006/7/6,0.0270588008491393
2006/7/7,0.001026798071326628
2006/7/10,0.015376422633697148
2006/7/11,0.008652295517069841
2006/7/12,-0.000967094
2006/7/13,-0.074406271
2006/7/14,0.008515073949125665
2006/7/17,0.019068121067648082
2006/7/18,0.00820362447819125
2006/7/19,-0.018342478
2006/7/20,0.009909394503375165
2006/7/21,0.0013094284404147093
2006/7/24,-0.001383459
2006/7/25,0.01407045090361971
2006/7/26,0.009661981102659315
2006/7/27,-0.005836882
2006/7/28,-0.006244276
2006/7/31,-0.042543707
2006/8/1,-0.017958811
2006/8/2,-0.010110409
2006/8/3,-0.003012204
2006/8/4,-0.038852155
2006/8/7,-0.029762148
2006/8/8,0.034418828449962614
2006/8/9,0.005851296662000483
2006/8/10,0.015956609530509223
2006/8/11,0.005725434112637015
2006/8/14,-0.033927527
2006/8/15,0.01980938260862998
2006/8/16,0.014942448943976032
2006/8/17,-0.005346268
2006/8/18,-0.007210551
2006/8/21,0.00935884815474975
2006/8/22,0.01030313342633808
2006/8/23,-0.002252395
2006/8/24,0.014154318522998808
2006/8/25,0.00013214198286601344
2006/8/28,0.02279165206920047
2006/8/29,-0.000440746
