,count,mean,std,min,5%,50%,95%,max,WinRate,TradeCount,MaxDdAmp,MaxDdRecBars,MaxDdStart,LongDdRecBars,LongDdStart,MaxDdEnd,AnnStd,AnnSharpe
gain_whole_market_1,5157.0,0.002592816270815289,0.06016083386569436,-0.5947965191392213,-0.07902380006093296,0.0,0.09238856703768535,0.8539579851900743,0.5231589669842411,16689.0,-2.012970054512596,142,2008-01-14,791,2016-01-28,True,0.9512263047529328,0.68144043585105
gain_whole_market_2,5157.0,0.001239374067208515,0.04043104142758291,-0.5947965191392213,-0.04393193147987176,0.0,0.05307027953052091,0.6080015384827266,0.5288539691140612,7382.0,-1.6598182886547037,581,2007-05-29,911,2020-07-13,True,0.6392708954189384,0.48468265804448446
gain_000852.SH_1,5157.0,0.0006510707014544163,0.011375446350439722,-0.0814297375908523,-0.01464887255209404,0.0,0.01833306055547932,0.1056538664943886,0.5631436314363144,1845.0,-0.42305177587592224,1133,2015-11-17,1132,2015-11-17,True,0.17986159934219725,0.9049606806505095
gain_000852.SH_2,5157.0,0.0001837026752663468,0.006266361880342327,-0.0796120247173699,0.0,0.0,0.0028087434349639362,0.1056538664943886,0.5942857142857143,525.0,-0.37233440262430334,1950,2007-05-29,1949,2007-05-29,True,0.09907988092368629,0.4635216391909045
