,count,mean,std,min,5%,50%,95%,max,MaxDdAmp,MaxDdRecBars,MaxDdEnd,MaxDdStart,LongDdRecBars,LongDdStart,AnnStd,AnnSharpe
whole_market,256.0,-0.0329134841063764,0.18105353109664837,-1.0,-0.31187277566682714,-0.038091994403059014,0.25162172747545253,0.4217204535590631,-7.425851931232355,255,False,2004-11-01,255,2004-11-01,0.03919923934364333,-0.8396459895009099
000016.SH,256.0,-0.05973177715102906,0.2231665517797238,-1.0,-0.4240019256596749,-0.05916344221534087,0.30448785160475367,0.47255804628251347,-14.291334950663439,255,False,2004-11-01,255,2004-11-01,0.04831697577905404,-1.2362482582555065
000300.SH,248.0,-0.03411675789853721,0.2342687444099802,-0.6627718041233776,-0.4409153984994045,-0.04469252444647906,0.3721172803210776,0.5701094875675946,-9.937376955803646,230,False,2006-12-01,230,2006-12-01,0.051532253261097574,-0.6620466938575036
000510.SH,244.0,-0.03186466504256582,0.23975460329039783,-0.6746983076912222,-0.4070310988837329,-0.05655782999297124,0.36297053250675443,1.0,-9.259729578476186,230,False,2006-12-01,230,2006-12-01,0.05316951076846119,-0.5993033334710902
000688.SH,64.0,0.005398004196288702,0.27885180766937884,-0.4760266114427449,-0.40874345522773253,0.01986517641100536,0.38247969710108887,1.0,-1.7966282352351335,8,False,2025-06-01,44,2021-06-01,0.12074637466644722,0.04470531070767369
000852.SH,244.0,-0.015375703648768418,0.23538802334397996,-1.0,-0.40876927346208675,-0.008081457346337473,0.3753634723917861,0.5793192773138157,-4.783284741378471,197,False,2009-09-01,197,2009-09-01,0.05220115013514646,-0.29454721991682953
000905.SH,244.0,-0.0182219829250587,0.2395266591395668,-0.7021075235288173,-0.39011231769927546,-0.01886603656883569,0.37465342354857994,1.0,-6.208013205585004,243,False,2005-11-01,243,2005-11-01,0.053118960418996,-0.34304103057224544
399006.SZ,179.0,-0.02954424259975134,0.23530962830084315,-0.6733455954976882,-0.3914960930121801,-0.024909847331051567,0.33135119762908294,1.0,-7.255240955150702,169,False,2012-01-01,169,2012-01-01,0.0609261598167536,-0.4849188376324878
932000.CSI,136.0,-0.01652091596903497,0.24273142231168496,-0.5624700754914121,-0.39415793498418894,-0.006161885471236017,0.3691491729873526,0.4860222550073056,-3.4384879416995284,95,False,2018-03-01,95,2018-03-01,0.0721019764215445,-0.22913263670395617
