date,count,mean,std,min,5%,50%,95%,max,MaxDdAmp,MaxDdRecBars,MaxDdEnd,MaxDdStart,LongDdRecBars,LongDdStart,AnnStd,AnnSharpe
2004,2.0,-0.5989083128963908,0.5672293036570301,-1.0,-0.959890831289639,-0.5989083128963908,-0.23792579450314244,-0.19781662579278148,-0.1978166257927816,1,False,2004-11-01,1,2004-11-01,1.9649399469517816,-0.30479726050940104
2005,12.0,-0.013326995306591679,0.2207245319153647,-0.4668465759362903,-0.32133598190868545,-0.01731039234502891,0.29929764285875315,0.3210302954726675,-0.30294234985572244,3,True,2005-05-01,2,2005-01-01,0.7646122075085396,-0.0174297443536995
2006,12.0,-0.020161517759452394,0.2255214988871746,-0.45912341814172714,-0.3627069111420996,-0.019271631576933262,0.24585437975907856,0.27204966581341034,-0.5172938118556294,9,False,2006-03-01,9,2006-03-01,0.7812293885433488,-0.02580742360069788
2007,12.0,0.0024130107073644927,0.19913055982484154,-0.4014574642444651,-0.3617755284679119,0.02812194452332302,0.2325532379478638,0.32513840548254386,-0.4409211137635298,8,False,2007-04-01,8,2007-04-01,0.6898084939125189,0.0034980878441756465
2008,12.0,-0.04999344373818663,0.19448624135076178,-0.35316414402548335,-0.2755941745869951,-0.10825413966915315,0.2212763352074295,0.23810249372626408,-0.850077342142944,10,False,2008-02-01,10,2008-02-01,0.673720102785245,-0.07420506458321095
2009,12.0,0.004860572933503102,0.2018772027525997,-0.3878318134467119,-0.2696987708546944,-0.01774055668567532,0.29145360711247237,0.4217204535590631,-0.4592805577445105,3,False,2009-09-01,3,2009-05-01,0.6993231441147726,0.006950396214407837
2010,12.0,-0.026473640346925512,0.22358520535971105,-0.3860455735672441,-0.33756706632726613,-0.0343276324978424,0.2940192105419202,0.37721200668172283,-0.8314817540111641,11,False,2010-01-01,11,2010-01-01,0.7745218710074815,-0.03418062334700654
2011,12.0,0.030205074547658636,0.1802128452858897,-0.30606087085401035,-0.18157977961788557,0.007963666265248075,0.315289099652025,0.4116289618215517,-0.35477351605495877,4,False,2011-08-01,4,2011-08-01,0.6242756084234208,0.048384197844827156
2012,12.0,-0.10958816255173498,0.17543759703457112,-0.5778442764876364,-0.39563506985448227,-0.07148404192717496,0.07503947368314044,0.10152908228785064,-1.2870834346235314,11,False,2012-01-01,11,2012-01-01,0.6077336632433443,-0.18032267945613945
2013,12.0,-0.10079875549658629,0.11145409220684746,-0.25592501587475774,-0.23511084353642395,-0.10300067808593344,0.07627725847667222,0.08100929839140843,-0.9536600500842782,11,False,2013-01-01,11,2013-01-01,0.3860883008274525,-0.2610769486683681
2014,12.0,0.005537445286696457,0.10860631752913177,-0.12654754769309245,-0.1240378657463467,-0.015273091822063855,0.15643406400067356,0.21171668631086038,-0.24189405722051927,5,False,2014-07-01,5,2014-07-01,0.3762233199668292,0.01471850625098062
2015,12.0,-0.006428306547042693,0.165212587437337,-0.27958901119486135,-0.24911844835653657,0.016468222114767644,0.18622904476163904,0.23582338948561482,-0.4019411445231533,2,False,2015-10-01,4,2015-02-01,0.5723131909827666,-0.01123214814602493
2016,12.0,-0.0711988241164973,0.12678209757041847,-0.22405359094761274,-0.21344453231727045,-0.0738571181760097,0.14000421397797605,0.16029658757051188,-1.0686431856919292,11,False,2016-01-01,11,2016-01-01,0.439186068964239,-0.16211539743145795
2017,12.0,-0.004063083601756427,0.1380768879323197,-0.20449801147681904,-0.20019874614831978,-0.01831681363351987,0.18982708432540296,0.2544534661567427,-0.5716693441125988,7,False,2017-05-01,7,2017-05-01,0.4783123704995434,-0.008494623706915616
2018,12.0,-0.057134518395613454,0.17804974243183933,-0.3847027774669713,-0.2955572317307324,-0.08673079141704304,0.19632871937899352,0.24695275454322538,-0.8467827272409494,9,False,2018-03-01,9,2018-03-01,0.6167824003329958,-0.0926331853255978
2019,12.0,-0.04457576580386508,0.16494007494694068,-0.2631236669488423,-0.23711039695061942,-0.08930686846070057,0.21608454786740125,0.32515503218141323,-0.6277291633737736,7,False,2019-05-01,7,2019-05-01,0.5713691800246394,-0.07801569871504588
2020,12.0,0.00396825805582831,0.11798015276457749,-0.2782021341587647,-0.19253994768654525,0.043488523037172905,0.1250535998068662,0.16912191033782298,-0.41348429110974116,8,False,2020-04-01,8,2020-04-01,0.4086952377459719,0.009709577429171846
2021,12.0,-0.09002335851657928,0.09369603284827008,-0.21353432890076302,-0.1895886883604254,-0.10987703628265763,0.052511833915291614,0.14629171805370322,-1.0812001285776383,11,False,2021-01-01,11,2021-01-01,0.3245725787216925,-0.2773597168039589
2022,12.0,0.02447779453316278,0.18827141313229884,-0.4173488989524182,-0.22790706941508665,0.011176101235841916,0.2839617866708268,0.3090893765624945,-0.4173488989524179,5,True,2022-01-01,4,2022-01-01,0.6521913063158639,0.037531617327796606
2023,12.0,-0.04983206016383696,0.1714964330883296,-0.3706548277018614,-0.28122584590915295,-0.06350699036029486,0.16381431302659977,0.19200339970617444,-0.7071832029789924,3,False,2023-09-01,5,2023-01-01,0.5940810708516464,-0.0838809088672024
2024,12.0,0.01972817036144772,0.20577636446073,-0.35959904774302004,-0.24686406395347293,0.01139983743430259,0.32002234535280233,0.4047767718508297,-0.6377690704503687,7,False,2024-05-01,7,2024-05-01,0.71283023648559,0.02767583269013944
2025,12.0,-0.030661579997700222,0.16473031856458692,-0.27729531605814095,-0.2225811326904787,-0.07675021072067492,0.24198125784334798,0.3038693567294012,-0.6944039033698592,5,False,2025-07-01,5,2025-07-01,0.5706425626017424,-0.05373167374319968
