date,whole_market,000016.SH,000300.SH,000510.SH,000688.SH,000852.SH,000905.SH,399006.SZ,932000.CSI
2004-11-01,-1.0,-1.0,,,,,,,
2004-12-01,-1.1978166257927816,-1.1978166257927816,,,,,,,
2005-01-01,-1.664663201729072,-1.664663201729072,,,,,,,
2005-02-01,-1.7698400240968173,-1.7698400240968173,,,,,,,
2005-03-01,-1.8035551939939878,-1.8035551939939878,,,,,,,
2005-04-01,-1.6596840876639,-1.6596840876639,,,,,,,
2005-05-01,-1.5037261054514812,-1.5037261054514812,,,,,,,
2005-06-01,-1.7060079649739446,-1.7060079649739446,,,,,,,
2005-07-01,-1.8066684553072037,-1.6546409360237684,-0.25268800961669424,,,,,,
2005-08-01,-1.485638159834536,-1.3361079340327693,0.07083957933764162,,,,,,
2005-09-01,-1.4865437746274235,-1.3360721867359702,0.06899260245506782,,,,,,
2005-10-01,-1.6573819456009933,-1.5943635604132669,-0.014392365814775265,,,,,,
2005-11-01,-1.3758655639718063,-1.3861794900006972,0.18500547191858982,1.0,,-1.0,1.0,,
2005-12-01,-1.3577405694718816,-1.3490401623733352,0.3874771930200217,1.3231387463812996,,-1.2823674779889123,0.810242655378442,,
2006-01-01,-1.6415612476142858,-1.5886810112848921,0.08369108414589471,0.9957020273435244,,-1.5546523141496724,0.5342877776506394,,
2006-02-01,-1.782855277960451,-1.7079005736818098,-0.10367349563663533,0.7878575622962019,,-1.5879235884731442,0.3755175074700553,,
2006-03-01,-1.5649821486936477,-1.5658542441597172,0.17213248856634292,1.0655197839841346,,-1.5505819426847207,0.7320269726026447,,
2006-04-01,-1.6231525424075501,-1.7889285555329895,0.17756650751278585,1.0339243578590749,,-1.444265523384014,0.5840943032843147,,
2006-05-01,-2.082275960549277,-2.2803112229587605,-0.322153887554188,0.6057428055839239,,-1.9302903161810174,0.1937866201405785,,
2006-06-01,-1.8960724041871884,-2.151617760980737,-0.03603703391492907,0.9088439258336796,,-1.756080709086419,0.23268335898938564,,
2006-07-01,-2.053706567378292,-2.176921478415819,-0.1788261646527634,0.7505286021101543,,-1.9651153079779515,-0.020044686178158133,,
2006-08-01,-1.8292846943909393,-1.8838165544580083,0.144446189016826,1.0569517185250765,,-1.9645410887507555,0.17869006548908667,,
2006-09-01,-1.770977675093055,-1.524851040274886,0.4830137169757102,1.1624713804162201,,-2.188434559917448,-0.10893407088794926,,
2006-10-01,-1.8913555789587564,-1.6600434473163046,0.53037741440372,1.22905826131823,,-2.5985581849225152,-0.27945813649998913,,
2006-11-01,-1.8717284483987204,-1.4003911383764254,0.7638229207836428,1.2212558562445968,,-2.7901891998977115,-0.47498687897078185,,
2006-12-01,-1.59967878258531,-1.18401062358743,1.088523425954737,1.4847513080901278,,-2.4625179085285023,-0.24698631307855998,,
2007-01-01,-1.6260803599548668,-1.3854946009081655,0.8270697265285364,1.268890938122085,,-2.0793600469220346,-0.0833540148178325,,
2007-02-01,-1.596966585629801,-1.3806427291621863,0.9132055422884646,1.1442049369076677,,-2.039248620171463,0.055801743765434675,,
2007-03-01,-1.5143279143757071,-1.2779145242123642,0.9613275235858314,1.3129903735052002,,-1.989679347905017,0.09979020492473678,,
2007-04-01,-1.4358539304437725,-1.0707513992811268,1.0373368184688985,1.4254914199467863,,-1.9940957638253225,0.10090307424882462,,
2007-05-01,-1.4982776100616841,-1.4934020200816198,0.7281761123840548,1.3195444704478312,,-1.6700877840663195,0.30253497278455527,,
2007-06-01,-1.8275861001669615,-1.8063575986324554,0.26071081122414463,0.9116977862664977,,-1.653442505381758,-0.17238519253431406,,
2007-07-01,-1.5024476946844176,-1.577048247073254,0.7009799203238557,1.3192247624461815,,-1.4285604338395066,0.15131932649755775,,
2007-08-01,-1.4753175799628375,-1.5619067682065406,0.6032234180454688,1.1825017923558958,,-1.2737210947169806,0.35146855448489195,,
2007-09-01,-1.8767750442073026,-1.9585821772172436,0.10980086509643627,0.7230657294298166,,-1.4850173068491093,-0.0949885297194904,,
2007-10-01,-1.747212953144975,-2.1846453222925413,0.30795677634881946,0.9691992946270184,,-1.220293383883322,0.06987167125207311,,
2007-11-01,-1.5904112159073036,-1.972133127214169,0.6891436589121052,1.2513420289836943,,-1.275115595226009,0.03286075678478217,,
2007-12-01,-1.570722654096936,-1.8285398443147038,0.708196894844086,1.1265258614365767,,-1.0864505342610304,-0.09519184641268624,,
2008-01-01,-1.7508052958713662,-1.6157404262958566,0.6414802308980982,0.9506034000123795,,-1.5210612405550878,-0.5311546416394428,,
2008-02-01,-1.5586691305384954,-1.5101228505977662,0.6727533802402249,1.0668094289290446,,-1.2112348990552053,-0.1333969104318531,,
2008-03-01,-1.7596630973678646,-1.6742479448145033,0.4163507395123645,0.8414417218971947,,-1.3751838521177475,-0.3285223495397098,,
2008-04-01,-1.8618352707208075,-1.7063684021545402,0.47382158692962484,0.8823644641059574,,-1.74827712400876,-0.5325630766993978,,
2008-05-01,-1.9761713767061708,-1.7389420246467886,0.369372782463096,0.7224187697850354,,-1.8617541346370399,-0.6937984747182361,,
2008-06-01,-1.8733384890156743,-1.6514055816873694,0.4218577484568065,0.7879101933935769,,-1.673402038089627,-0.5734989653748378,,
2008-07-01,-1.870000934559707,-1.5698460671611283,0.411163516834328,0.8572724041539412,,-1.7942557418666585,-0.576184982982097,,
2008-08-01,-2.0821287705152116,-1.9979019073983493,0.2087270957280787,0.5911216398998813,,-1.801342522676736,-0.733094356352013,,
2008-09-01,-1.8746192922777376,-1.8628807154633589,0.4460945402805498,0.8058893973984307,,-1.6091412502966107,-0.4749046315307791,,
