date_key,whole_market_label,000905.SH_label
2006-09-15,0.3061413762531312,0.5715375291154549
2006-09-18,0.3167772976465249,0.5870760138575392
2006-09-19,0.31986913028241243,0.5903995297771708
2006-09-20,0.32106525475633024,0.5932573817346264
2006-09-21,0.3263663406173,0.5963239402504404
2006-09-22,0.3168330217868208,0.5880371285593574
2006-09-25,0.3173402018112653,0.591271611332421
2006-09-26,0.3100757910533089,0.5872484196481482
2006-09-27,0.31932063976534836,0.5966524122018894
2006-09-28,0.32920513948181973,0.6050377941985249
2006-09-29,0.3400709346364726,0.6151024596763754
2006-10-09,0.3623862826264602,0.6334525362764603
2006-10-10,0.36519960630820236,0.6393168412091108
2006-10-11,0.36611392391987513,0.6409770832059342
2006-10-12,0.3573108692492081,0.625679546119856
2006-10-13,0.3611406774857527,0.631132687864277
2006-10-16,0.3539438597635697,0.6255519291747048
2006-10-17,0.3506852369923421,0.6264576570080214
2006-10-18,0.36543745950799,0.639178363208008
2006-10-19,0.36812625494439133,0.6446963199389479
2006-10-20,0.36568361980205183,0.6387439214116527
2006-10-23,0.34091994478308285,0.6063721735359437
2006-10-24,0.3643424454048487,0.6319129096009973
2006-10-25,0.36401855692097296,0.6247922714309986
2006-10-26,0.3649564235644178,0.6188933050554581
2006-10-27,0.3510674592519606,0.6017691884693498
2006-10-30,0.3533512382767601,0.5997806220670968
2006-10-31,0.36536993344709884,0.6091783177111199
2006-11-01,0.37375366397430576,0.6136311689343465
2006-11-02,0.3719997262192836,0.6118925157906254
2006-11-03,0.37765072382203857,0.6143670848923926
2006-11-06,0.38441625026054543,0.6085099747549416
2006-11-07,0.3830601693398472,0.5987520816193164
2006-11-08,0.3750228263202805,0.5959953603697159
2006-11-09,0.39090790335232417,0.6067233724937614
2006-11-10,0.37321632581590697,0.5810430237384251
2006-11-13,0.34818271926889527,0.5449113319695102
2006-11-14,0.36048793318255234,0.5559453573794695
2006-11-15,0.3817673216657491,0.5713758661419857
2006-11-16,0.37554855131928716,0.556601902335347
2006-11-17,0.38985408328028043,0.5661752600669461
