,count,mean,std,min,5%,50%,95%,max
"tautocorr(signal,0)",1607.0,1.0,8.147896676435053e-17,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0
"tautocorr(signal,1)",1607.0,0.04452250008512443,0.24303763825733185,-0.6769960152280265,-0.3492466641551469,0.039281670461428886,0.46430436235503897,0.7584691744254934
"tautocorr(signal,2)",1607.0,0.011498833303993183,0.24053642124689756,-0.6493680995961758,-0.39705242688667824,0.02346033247351759,0.40374039182555,0.6400667235791601
"tautocorr(signal,3)",1607.0,-0.00487156192064639,0.22532955143227548,-0.6990341520152302,-0.3626989262994205,-0.009096310716058318,0.37000724331933815,0.689038990430656
"tautocorr(signal,4)",1607.0,-0.018687476668060855,0.24101738892555927,-0.7326897522254407,-0.4060275248474287,-0.018539689785166447,0.37811348852961707,0.6859957631018784
"tautocorr(signal,5)",1607.0,-0.047510495135441005,0.2194735068706133,-0.8022291169990844,-0.3891737269306897,-0.048755778152990564,0.32158562086162856,0.7301690887766081
"tautocorr(signal,6)",1607.0,-0.022930716607577936,0.22837668056573812,-0.662394755941488,-0.3972486416971448,-0.02267252287869343,0.346197566532486,0.8250642415986329
"tautocorr(signal,7)",1607.0,-0.02614361442105335,0.23070164006645597,-0.6801720683740602,-0.40545612616208565,-0.020748267208025126,0.3491502176312472,0.7275786494666485
"tautocorr(signal,8)",1607.0,0.009452793526217118,0.22657616845326758,-0.6575660998028632,-0.3622907204254704,-0.0024319424588909845,0.3834165978201918,0.7084025102432395
"tautocorr(signal,9)",1607.0,-0.034568007647213246,0.2361980625920841,-0.684757913943296,-0.423014632043131,-0.035663809655243385,0.3689474186773919,0.7196180356797743
"tautocorr(signal,10)",1607.0,-0.007153110178857292,0.2511715260043216,-0.7222221473976089,-0.4108288501609769,-0.004742359112458167,0.40661364311336334,0.7187624133318409
