Wind代码,交易日期,货币代码,昨收盘价(点),开盘点位,最高点位,最低点位,收盘价,涨跌,涨跌幅(%),成交量(万股),成交金额(千元),unnamed_12,unnamed_13
399006.SZ,20100729,1,972.53,974.3,982.02,965.61,975.36,2.83,0.2908,17941.93,5897853.3043,33361,20100729180000000
399006.SZ,20100730,1,975.36,971.66,971.66,955.92,968.43,-6.93,-0.7106,14584.86,5049473.2416,33361,20100730180000000
399006.SZ,20100802,1,968.43,968.45,994.23,968.45,994.23,25.8,2.6638,18103.64,6104407.789,33361,20100802180000000
399006.SZ,20100803,1,994.23,995.2,996.26,975.64,975.64,-18.58,-1.8691,17570.58,5951414.5616,33361,20100803180000000
399006.SZ,20100804,1,975.64,971.41,978.01,955.93,978.01,2.37,0.2428,14461.65,4758297.3208,33361,20100804180000000
399006.SZ,20100805,1,978.01,980.27,998.1,978.33,987.35,9.34,0.9547,17703.99,6033987.1208,33361,20100805180000000
399006.SZ,20100806,1,987.35,987.97,1011.39,985.63,1011.39,24.04,2.4347,18990.61,6225316.7457,33361,20100806180000000
399006.SZ,20100809,1,1011.39,1013.24,1032.34,1013.24,1032.34,20.95,2.0713,20919.95,6918898.5015,33361,20100809180000000
399006.SZ,20100810,1,1032.34,1031.98,1034.33,993.99,993.99,-38.35,-3.7146,21770.71,7106822.6011,33361,20100810180000000
399006.SZ,20100811,1,993.99,991.28,1006.45,990.94,1004.64,10.64,1.0709,16150.78,5180189.7265,33361,20100811180000000
399006.SZ,20100812,1,1004.64,994.05,1007.58,987.98,991.78,-12.86,-1.2801,16891.89,5316055.4419,33361,20100812180000000
399006.SZ,20100813,1,991.78,992.63,1007.52,986.62,1007.21,15.43,1.5557,14717.98,4831450.1388,33361,20100813180000000
399006.SZ,20100816,1,1007.21,1007.5,1031.05,1005.05,1030.22,23.01,2.2846,18804.0,6199923.3288,33361,20100816180000000
399006.SZ,20100817,1,1030.22,1031.08,1036.82,1023.08,1033.58,3.36,0.3265,18007.77,6092952.2535,33361,20100817180000000
399006.SZ,20100818,1,1033.58,1033.71,1035.61,1018.5,1026.72,-6.86,-0.6636,16435.01,5721278.6026,33361,20100818180000000
399006.SZ,20100819,1,1026.72,1026.98,1033.25,1021.7,1025.53,-1.2,-0.1165,16245.34,5547407.0311,33361,20100819180000000
399006.SZ,20100820,1,1025.53,1021.46,1022.45,993.56,995.94,-29.58,-2.8846,24045.6,9468962.916,33361,20100820180000000
399006.SZ,20100823,1,995.94,994.94,1001.18,991.52,995.61,-0.33,-0.0332,17739.28,6691922.8634,33361,20100823180000000
399006.SZ,20100824,1,995.61,993.58,1007.76,987.22,1004.98,9.37,0.9413,16081.55,6272781.8885,33361,20100824180000000
399006.SZ,20100825,1,1004.98,1000.27,1002.33,976.56,976.88,-28.11,-2.7968,21666.38,7732030.9715,33361,20100825180000000
399006.SZ,20100826,1,976.88,978.6,984.87,973.0,980.63,3.75,0.3841,17007.67,6245785.6844,33361,20100826180000000
399006.SZ,20100827,1,980.63,978.51,1000.86,975.72,999.46,18.83,1.9198,21734.8,7887761.3268,33361,20100827180000000
399006.SZ,20100830,1,999.46,1002.99,1025.15,1002.99,1024.93,25.47,2.5486,23581.86,8501815.3154,33361,20100830180000000
399006.SZ,20100831,1,1024.93,1020.75,1029.8,1015.13,1025.57,0.64,0.0626,21753.34,8054545.1782,33361,20100831180000000
399006.SZ,20100901,1,1025.57,1025.68,1029.8,987.59,995.59,-29.98,-2.9236,24001.53,8763611.3408,33361,20100901180000000
399006.SZ,20100902,1,995.59,1001.6,1018.28,996.52,1014.92,19.34,1.9422,27580.03,11048559.0013,33361,20100902180000000
399006.SZ,20100903,1,1014.92,1017.64,1045.21,1017.51,1036.7,21.78,2.1461,31860.12,12468598.8529,33361,20100903180000000
