Wind代码,交易日期,货币代码,昨收盘价(点),开盘点位,最高点位,最低点位,收盘价,涨跌,涨跌幅(%),成交量(万股),成交金额(千元),gsid,gudt
000688.SH,2019/12/31,1,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,10209.01,4320077.52,32222,20191231180000000
000688.SH,2020/01/02,1,1000.0,1005.62,1019.91,1005.62,1019.72,19.72,1.9723,16590.69,6628098.273,32222,20200102180000000
000688.SH,2020/01/03,1,1019.72,1021.67,1029.07,1018.68,1024.48,4.76,0.4666,16614.9,7215680.285,32222,20200103180000000
000688.SH,2020/01/06,1,1024.48,1020.0,1040.14,1020.0,1027.28,2.8,0.2729,18433.5,7785230.597,32222,20200106180000000
000688.SH,2020/01/07,1,1027.28,1025.66,1043.08,1019.86,1043.08,15.81,1.5386,18749.66,7824109.737,32222,20200107180000000
000688.SH,2020/01/08,1,1043.08,1035.84,1059.44,1034.51,1051.16,8.08,0.7743,23791.23,9283811.058,32222,20200108180000000
000688.SH,2020/01/09,1,1051.16,1060.58,1081.4,1060.58,1078.31,27.15,2.583,21133.03,9047930.508,32222,20200109180000000
000688.SH,2020/01/10,1,1078.31,1082.31,1088.54,1076.44,1076.44,-1.87,-0.1738,19031.94,7787337.318,32222,20200110180000000
000688.SH,2020/01/13,1,1076.44,1076.76,1105.85,1069.78,1105.85,29.41,2.7322,18596.63,8449429.728,32222,20200113180000000
000688.SH,2020/01/14,1,1105.85,1107.78,1133.9,1107.78,1118.31,12.46,1.1266,24535.02,11060374.843,32222,20200114180000000
000688.SH,2020/01/15,1,1118.31,1113.25,1120.35,1105.58,1114.77,-3.54,-0.3166,17993.23,8265923.477,32222,20200115180000000
000688.SH,2020/01/16,1,1114.77,1116.51,1161.48,1116.51,1154.3,39.54,3.5467,22434.16,11388100.106,32222,20200116180000000
000688.SH,2020/01/17,1,1154.3,1159.37,1252.56,1159.37,1238.66,84.36,7.3084,44088.89,18725517.414,32222,20200117180000000
000688.SH,2020/01/20,1,1238.66,1239.44,1270.36,1208.69,1240.51,1.85,0.149,36815.22,17376827.193,32222,20200120180000000
000688.SH,2020/01/21,1,1240.51,1233.65,1247.84,1194.8,1195.01,-45.5,-3.6675,27475.65,12983279.924,32222,20200121180000000
000688.SH,2020/01/22,1,1195.01,1178.78,1247.61,1157.29,1244.52,49.51,4.1431,34210.28,15527910.989,32222,20200122180000000
000688.SH,2020/01/23,1,1244.52,1219.23,1262.44,1177.09,1202.1,-42.42,-3.4087,27351.59,13936206.912,32222,20200123180000000
000688.SH,2020/02/03,1,1202.1,1018.28,1082.79,1015.6,1030.55,-171.55,-14.271,38604.72,13831764.69,32222,20200203180000000
000688.SH,2020/02/04,1,1030.55,1049.96,1153.23,1049.96,1153.23,122.68,11.9044,34796.59,14520888.769,32222,20200204180000000
000688.SH,2020/02/05,1,1153.23,1166.97,1240.37,1166.97,1203.61,50.38,4.3687,39203.59,18401592.181,32222,20200205180000000
000688.SH,2020/02/06,1,1203.61,1191.73,1251.84,1191.73,1238.76,35.14,2.9199,36843.41,16491387.785,32222,20200206180000000
000688.SH,2020/02/07,1,1238.76,1240.04,1307.76,1234.23,1307.76,69.0,5.5701,37455.13,19219459.164,32222,20200207180000000
000688.SH,2020/02/10,1,1307.76,1310.53,1336.53,1293.43,1322.25,14.49,1.1083,43948.73,19523425.341,32222,20200210180000000
000688.SH,2020/02/11,1,1322.25,1318.42,1318.42,1266.21,1283.57,-38.68,-2.9251,33046.46,15492726.272,32222,20200211180000000
000688.SH,2020/02/12,1,1283.57,1274.8,1360.55,1274.8,1348.7,65.13,5.0741,31136.07,15957362.758,32222,20200212180000000
000688.SH,2020/02/13,1,1348.7,1360.13,1409.68,1353.04,1360.71,12.01,0.8903,39988.8,19990465.208,32222,20200213180000000
000688.SH,2020/02/14,1,1360.71,1359.37,1382.96,1305.97,1327.22,-33.49,-2.4609,35370.72,18395886.981,32222,20200214180000000
000688.SH,2020/02/17,1,1327.22,1332.97,1381.55,1332.97,1381.55,54.33,4.0934,32790.1,16481541.066,32222,20200217180000000
000688.SH,2020/02/18,1,1381.55,1381.58,1404.71,1372.53,1399.38,17.83,1.2906,32352.4,17009185.518,32222,20200218180000000
000688.SH,2020/02/19,1,1399.38,1398.78,1412.17,1373.44,1373.44,-25.94,-1.8537,32090.51,17051637.962,32222,20200219180000000
000688.SH,2020/02/20,1,1373.44,1377.76,1390.02,1321.73,1348.34,-25.11,-1.828,28291.9,15484251.646,32222,20200220180000000
000688.SH,2020/02/21,1,1348.34,1337.56,1373.67,1337.56,1346.86,-1.47,-0.1094,24192.79,13208498.513,32222,20200221180000000
000688.SH,2020/02/24,1,1346.86,1341.99,1359.23,1328.75,1351.71,4.85,0.3599,25113.62,13148865.966,32222,20200224180000000
000688.SH,2020/02/25,1,1351.71,1312.48,1371.58,1312.48,1367.37,15.66,1.1584,29235.89,15501977.436,32222,20200225180000000
000688.SH,2020/02/26,1,1367.37,1348.08,1361.01,1286.35,1288.24,-79.13,-5.7868,31554.95,14515183.21,32222,20200226180000000
000688.SH,2020/02/27,1,1288.24,1293.19,1293.19,1251.45,1264.94,-23.3,-1.8088,21823.98,11667511.434,32222,20200227180000000
000688.SH,2020/02/28,1,1264.94,1206.86,1231.09,1187.1,1191.05,-73.89,-5.8411,26067.38,12180761.863,32222,20200228180000000
000688.SH,2020/03/02,1,1191.05,1202.96,1259.08,1194.94,1252.62,61.57,5.1693,29282.6,11022344.723,32222,20200302180000000
000688.SH,2020/03/03,1,1252.62,1278.27,1332.84,1272.06,1285.03,32.41,2.5874,29679.61,12941359.934,32222,20200303180000000
000688.SH,2020/03/04,1,1285.03,1268.83,1277.69,1226.8,1255.72,-29.31,-2.281,19324.2,9442892.695,32222,20200304180000000
000688.SH,2020/03/05,1,1255.72,1277.71,1277.71,1246.71,1264.79,9.06,0.7218,26214.59,9806183.651,32222,20200305180000000
000688.SH,2020/03/06,1,1264.79,1246.1,1255.07,1237.62,1243.37,-21.42,-1.6932,18299.08,7287132.969,32222,20200306180000000
000688.SH,2020/03/09,1,1243.37,1216.04,1223.25,1171.86,1171.86,-71.51,-5.7516,23451.72,8987296.089,32222,20200309180000000
000688.SH,2020/03/10,1,1171.86,1148.4,1216.33,1135.21,1216.33,44.47,3.7948,24307.73,10398062.24,32222,20200310180000000
000688.SH,2020/03/11,1,1216.33,1218.52,1233.43,1184.71,1184.71,-31.62,-2.5995,28429.93,9308973.197,32222,20200311180000000
000688.SH,2020/03/12,1,1184.71,1161.92,1177.36,1151.79,1167.06,-17.65,-1.4894,17527.32,6646928.17,32222,20200312180000000
000688.SH,2020/03/13,1,1167.06,1103.96,1187.7,1103.96,1175.28,8.22,0.704,20106.74,9459329.517,32222,20200313180000000
000688.SH,2020/03/16,1,1175.28,1188.08,1200.46,1115.08,1115.08,-60.2,-5.122,19205.21,8992664.583,32222,20200316180000000
000688.SH,2020/03/17,1,1115.08,1132.95,1141.39,1079.84,1131.55,16.46,1.4764,17122.21,7690744.606,32222,20200317180000000
000688.SH,2020/03/18,1,1131.55,1145.3,1173.23,1115.02,1115.02,-16.53,-1.4607,17712.01,8301751.051,32222,20200318180000000
000688.SH,2020/03/19,1,1115.02,1116.26,1133.69,1091.24,1128.97,13.95,1.2515,16244.08,7273032.357,32222,20200319180000000
000688.SH,2020/03/20,1,1128.97,1140.09,1148.09,1114.29,1127.37,-1.6,-0.1421,12382.38,5555484.285,32222,20200320180000000
000688.SH,2020/03/23,1,1127.37,1092.5,1096.4,1037.53,1039.88,-87.49,-7.7601,16098.56,6886642.06,32222,20200323180000000
000688.SH,2020/03/24,1,1039.88,1067.01,1071.34,1020.25,1060.84,20.96,2.0155,12868.95,5803358.536,32222,20200324180000000
000688.SH,2020/03/25,1,1060.84,1097.31,1110.1,1094.16,1101.32,40.48,3.8155,14892.74,6260174.256,32222,20200325180000000
000688.SH,2020/03/26,1,1101.32,1093.33,1111.48,1091.0,1095.34,-5.98,-0.5431,10619.16,4676312.761,32222,20200326180000000
000688.SH,2020/03/27,1,1095.34,1109.54,1110.54,1082.93,1084.51,-10.83,-0.989,13145.76,4535655.745,32222,20200327180000000
000688.SH,2020/03/30,1,1084.51,1062.9,1062.9,1021.5,1035.83,-48.68,-4.4885,12236.83,5151621.007,32222,20200330180000000
000688.SH,2020/03/31,1,1035.83,1048.74,1055.27,1027.22,1029.75,-6.08,-0.5868,9062.3,4134195.298,32222,20200331180000000
000688.SH,2020/04/01,1,1029.75,1026.58,1060.71,1026.58,1037.93,8.18,0.7942,9804.22,4531907.866,32222,20200401180000000
000688.SH,2020/04/02,1,1037.93,1033.56,1094.83,1033.56,1094.83,56.9,5.482,11017.83,5452362.136,32222,20200402180000000
000688.SH,2020/04/03,1,1094.83,1089.24,1095.31,1074.19,1080.53,-14.3,-1.3058,9495.16,4368826.025,32222,20200403180000000
000688.SH,2020/04/07,1,1080.53,1109.61,1117.79,1108.78,1111.65,31.12,2.8804,11145.25,4752597.655,32222,20200407180000000
000688.SH,2020/04/08,1,1111.65,1104.96,1117.81,1100.31,1104.14,-7.51,-0.6755,8981.35,3924893.085,32222,20200408180000000
000688.SH,2020/04/09,1,1104.14,1107.47,1110.06,1094.92,1101.28,-2.86,-0.2593,8213.38,3750772.56,32222,20200409180000000
000688.SH,2020/04/10,1,1101.28,1100.37,1100.37,1054.35,1058.44,-42.84,-3.8901,10096.43,4640644.345,32222,20200410180000000
000688.SH,2020/04/13,1,1058.44,1048.21,1052.01,1038.82,1042.15,-16.29,-1.5395,6761.88,2983486.929,32222,20200413180000000
000688.SH,2020/04/14,1,1042.15,1049.21,1073.22,1049.21,1073.22,31.07,2.9815,7056.76,3262577.915,32222,20200414180000000
000688.SH,2020/04/15,1,1073.22,1076.94,1101.67,1076.94,1088.2,14.99,1.3963,8185.61,4430674.775,32222,20200415180000000
000688.SH,2020/04/16,1,1088.2,1080.87,1097.2,1080.87,1091.93,3.73,0.3427,7300.3,3438563.229,32222,20200416180000000
000688.SH,2020/04/17,1,1091.93,1102.66,1129.12,1102.66,1117.07,25.14,2.3021,14435.11,6234092.396,32222,20200417180000000
000688.SH,2020/04/20,1,1117.07,1119.26,1133.36,1115.72,1133.36,16.29,1.4584,9387.27,4148926.505,32222,20200420180000000
000688.SH,2020/04/21,1,1133.36,1127.66,1127.66,1108.48,1119.23,-14.13,-1.2469,8840.65,3909891.757,32222,20200421180000000
000688.SH,2020/04/22,1,1119.23,1108.68,1135.85,1108.68,1135.85,16.62,1.4849,8556.5,4429069.712,32222,20200422180000000
000688.SH,2020/04/23,1,1135.85,1140.8,1157.87,1140.55,1149.72,13.87,1.2209,11883.2,5579683.82,32222,20200423180000000
000688.SH,2020/04/24,1,1149.72,1148.59,1155.54,1139.31,1144.15,-5.56,-0.4839,12903.75,5571205.954,32222,20200424180000000
000688.SH,2020/04/27,1,1144.15,1140.19,1145.75,1136.23,1138.1,-6.05,-0.5291,8837.0,4469893.081,32222,20200427180000000
000688.SH,2020/04/28,1,1138.1,1130.61,1130.61,1037.26,1113.51,-24.59,-2.1604,15829.65,7647923.318,32222,20200428180000000
000688.SH,2020/04/29,1,1113.51,1105.6,1125.19,1102.57,1102.7,-10.81,-0.9712,8997.89,4744999.925,32222,20200429180000000
000688.SH,2020/04/30,1,1102.7,1107.43,1171.8,1107.43,1166.35,63.65,5.7722,13874.71,6889894.806,32222,20200430180000000
000688.SH,2020/05/06,1,1166.35,1155.12,1252.75,1155.12,1247.51,81.16,6.9589,21718.14,9893709.468,32222,20200506180000000
000688.SH,2020/05/07,1,1247.51,1249.64,1249.64,1218.24,1224.1,-23.41,-1.8764,16195.19,8120094.695,32222,20200507180000000
000688.SH,2020/05/08,1,1224.1,1230.91,1272.62,1230.91,1240.25,16.14,1.3186,14406.38,7757384.029,32222,20200508180000000
000688.SH,2020/05/11,1,1240.25,1244.3,1268.08,1215.97,1226.06,-14.18,-1.1437,11668.07,6907605.969,32222,20200511180000000
000688.SH,2020/05/12,1,1226.06,1222.39,1233.64,1203.15,1233.59,7.53,0.6142,10831.42,5982520.886,32222,20200512180000000
000688.SH,2020/05/13,1,1233.59,1227.72,1252.58,1227.72,1247.03,13.44,1.0897,10982.0,6131646.396,32222,20200513180000000
000688.SH,2020/05/14,1,1247.03,1241.84,1258.25,1238.23,1242.17,-4.87,-0.3902,12774.41,6509024.634,32222,20200514180000000
000688.SH,2020/05/15,1,1242.17,1244.74,1280.05,1244.74,1270.48,28.31,2.2792,12868.72,7866716.653,32222,20200515180000000
000688.SH,2020/05/18,1,1270.48,1279.29,1279.29,1253.33,1254.3,-16.18,-1.2737,15177.39,9566075.251,32222,20200518180000000
000688.SH,2020/05/19,1,1254.3,1260.22,1324.42,1260.22,1324.42,70.12,5.5903,14841.7,9656347.973,32222,20200519180000000
000688.SH,2020/05/20,1,1324.42,1317.4,1348.58,1297.67,1307.0,-17.42,-1.3153,20161.68,10510427.351,32222,20200520180000000
000688.SH,2020/05/21,1,1307.0,1305.91,1309.5,1251.52,1251.93,-55.07,-4.2132,15291.76,8471500.381,32222,20200521180000000
000688.SH,2020/05/22,1,1251.93,1247.6,1258.31,1208.82,1230.66,-21.27,-1.6992,13343.73,7132181.66,32222,20200522180000000
000688.SH,2020/05/25,1,1230.66,1223.87,1227.56,1205.73,1212.09,-18.57,-1.5091,9972.45,5728130.544,32222,20200525180000000
