Wind代码,交易日期,货币代码,昨收盘价(点),开盘点位,最高点位,最低点位,收盘价,涨跌,涨跌幅(%),成交量(万股),成交金额(千元),gsid,gudt
000852.SH,2004/12/31,1,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,32332,20041231180000000
000852.SH,2005/01/04,1,1000.0,996.28,996.28,982.99,989.98,-10.02,-1.0016,4947.37,259589.539,32332,20050104180000000
000852.SH,2005/01/05,1,989.98,989.87,1018.26,988.57,1013.58,23.6,2.3838,8226.61,441803.03,32332,20050105180000000
000852.SH,2005/01/06,1,1013.58,1014.96,1014.96,1001.21,1005.46,-8.12,-0.8009,7324.54,386428.399,32332,20050106180000000
000852.SH,2005/01/07,1,1005.46,1005.52,1021.71,1001.1,1011.74,6.28,0.6241,7582.4,443201.562,32332,20050107180000000
000852.SH,2005/01/10,1,1011.74,1011.92,1023.64,1007.8,1023.64,11.9,1.176,5969.27,334380.575,32332,20050110180000000
000852.SH,2005/01/11,1,1023.64,1024.04,1027.16,1017.79,1027.16,3.52,0.344,7826.25,422969.885,32332,20050111180000000
000852.SH,2005/01/12,1,1027.16,1026.74,1026.74,1014.77,1024.92,-2.24,-0.218,7624.77,414983.403,32332,20050112180000000
000852.SH,2005/01/13,1,1024.92,1024.13,1030.49,1020.67,1029.3,4.38,0.4272,10211.12,596290.832,32332,20050113180000000
000852.SH,2005/01/14,1,1029.3,1028.99,1034.59,1011.44,1011.88,-17.42,-1.6927,8641.33,489983.019,32332,20050114180000000
000852.SH,2005/01/17,1,1011.88,1002.33,1002.33,984.38,986.66,-25.21,-2.4918,9211.92,523647.613,32332,20050117180000000
000852.SH,2005/01/18,1,986.66,985.67,1008.48,985.67,1008.11,21.45,2.1736,9905.04,501013.308,32332,20050118180000000
000852.SH,2005/01/19,1,1008.11,1007.11,1008.22,997.62,1002.46,-5.65,-0.5602,11623.0,579483.565,32332,20050119180000000
000852.SH,2005/01/20,1,1002.46,999.93,999.93,982.42,989.44,-13.02,-1.2987,11084.45,574109.085,32332,20050120180000000
000852.SH,2005/01/21,1,989.44,987.43,1007.92,966.08,1006.25,16.81,1.6988,16600.74,854971.965,32332,20050121180000000
000852.SH,2005/01/24,1,1006.25,1028.01,1029.0,1016.09,1028.01,21.76,2.1626,17784.22,956858.403,32332,20050124180000000
000852.SH,2005/01/25,1,1028.01,1023.1,1023.1,1005.49,1015.1,-12.91,-1.2559,12902.04,684957.954,32332,20050125180000000
000852.SH,2005/01/26,1,1015.1,1014.25,1015.13,1004.61,1006.84,-8.26,-0.8137,12059.19,644322.041,32332,20050126180000000
000852.SH,2005/01/27,1,1006.84,1005.89,1005.89,988.12,989.41,-17.43,-1.7308,11517.57,587830.237,32332,20050127180000000
000852.SH,2005/01/28,1,989.41,989.41,989.41,960.24,963.0,-26.41,-2.6692,10739.28,533650.469,32332,20050128180000000
000852.SH,2005/01/31,1,963.0,954.94,954.94,923.13,924.17,-38.84,-4.0331,11438.86,568290.192,32332,20050131180000000
000852.SH,2005/02/01,1,924.17,917.3,929.22,905.21,905.8,-18.36,-1.9871,11075.25,553877.868,32332,20050201180000000
000852.SH,2005/02/02,1,905.8,904.13,959.99,904.13,958.39,52.59,5.8059,15288.58,785164.718,32332,20050202180000000
000852.SH,2005/02/03,1,958.39,956.73,962.26,936.51,936.86,-21.53,-2.2466,13860.26,693933.906,32332,20050203180000000
000852.SH,2005/02/04,1,936.86,937.15,954.91,934.96,952.39,15.53,1.6578,12771.79,625729.83,32332,20050204180000000
000852.SH,2005/02/16,1,952.39,959.28,975.5,958.48,966.38,13.99,1.4692,12514.98,607772.54,32332,20050216180000000
000852.SH,2005/02/17,1,966.38,966.04,973.81,957.8,973.81,7.42,0.7681,11274.79,532734.95,32332,20050217180000000
000852.SH,2005/02/18,1,973.81,973.19,974.21,963.76,964.0,-9.8,-1.0067,10792.02,523135.989,32332,20050218180000000
000852.SH,2005/02/21,1,964.0,963.58,983.68,963.58,983.61,19.6,2.0335,13116.3,667415.493,32332,20050221180000000
000852.SH,2005/02/22,1,983.61,983.96,1016.38,982.76,1015.66,32.05,3.2584,22772.05,1264275.078,32332,20050222180000000
000852.SH,2005/02/23,1,1015.66,1016.77,1038.91,1010.43,1032.9,17.24,1.6971,26137.55,1538436.291,32332,20050223180000000
000852.SH,2005/02/24,1,1032.9,1031.75,1037.78,1023.3,1035.35,2.45,0.2375,23379.7,1364538.388,32332,20050224180000000
000852.SH,2005/02/25,1,1035.35,1034.54,1046.99,1032.32,1032.41,-2.94,-0.2835,22566.79,1328017.351,32332,20050225180000000
000852.SH,2005/02/28,1,1032.41,1032.18,1034.46,1021.86,1029.38,-3.03,-0.2934,17347.85,1019363.572,32332,20050228180000000
000852.SH,2005/03/01,1,1029.38,1028.61,1031.54,1018.99,1030.82,1.43,0.139,14705.17,820164.592,32332,20050301180000000
000852.SH,2005/03/02,1,1030.82,1031.5,1038.35,1013.83,1014.53,-16.29,-1.5801,18319.2,1033918.085,32332,20050302180000000
000852.SH,2005/03/03,1,1014.53,1011.26,1021.45,1003.21,1020.25,5.72,0.5639,13278.73,700373.468,32332,20050303180000000
000852.SH,2005/03/04,1,1020.25,1020.55,1022.23,1009.84,1011.36,-8.89,-0.8711,11038.97,609366.074,32332,20050304180000000
000852.SH,2005/03/07,1,1011.36,1011.81,1016.56,1009.27,1013.59,2.23,0.2208,9722.67,557313.567,32332,20050307180000000
000852.SH,2005/03/08,1,1013.59,1014.26,1037.06,1014.26,1037.03,23.44,2.3121,15942.32,1002768.664,32332,20050308180000000
000852.SH,2005/03/09,1,1037.03,1039.51,1044.01,1034.47,1042.18,5.15,0.4969,18801.25,1069727.043,32332,20050309180000000
000852.SH,2005/03/10,1,1042.18,1042.74,1043.32,1008.4,1011.79,-30.39,-2.9161,17351.86,1040762.076,32332,20050310180000000
000852.SH,2005/03/11,1,1011.79,1009.98,1018.11,1005.95,1017.45,5.66,0.5596,14016.92,823588.167,32332,20050311180000000
000852.SH,2005/03/14,1,1017.45,1016.72,1016.72,990.34,1005.99,-11.47,-1.1269,15611.12,932085.419,32332,20050314180000000
000852.SH,2005/03/15,1,1005.99,1005.51,1007.55,991.23,993.48,-12.51,-1.2437,13290.83,785187.317,32332,20050315180000000
000852.SH,2005/03/16,1,993.48,991.75,991.77,977.6,982.84,-10.64,-1.0709,11052.33,645896.393,32332,20050316180000000
000852.SH,2005/03/17,1,982.84,980.92,984.38,967.48,967.59,-15.24,-1.551,11275.34,627814.45,32332,20050317180000000
000852.SH,2005/03/18,1,967.59,965.18,969.38,943.69,946.7,-20.89,-2.1588,12177.41,658828.649,32332,20050318180000000
000852.SH,2005/03/21,1,946.7,945.76,952.09,939.18,950.79,4.09,0.4317,8838.49,502887.285,32332,20050321180000000
000852.SH,2005/03/22,1,950.79,950.8,951.15,915.73,915.94,-34.85,-3.6657,11964.42,646892.698,32332,20050322180000000
000852.SH,2005/03/23,1,915.94,915.04,933.53,909.34,915.97,0.04,0.0038,11841.07,675843.06,32332,20050323180000000
000852.SH,2005/03/24,1,915.97,914.47,928.68,906.58,928.54,12.57,1.3719,10460.97,660406.051,32332,20050324180000000
000852.SH,2005/03/25,1,928.54,928.73,928.73,918.79,923.2,-5.34,-0.5755,10550.56,600489.694,32332,20050325180000000
000852.SH,2005/03/28,1,923.2,921.89,921.89,896.94,911.35,-11.84,-1.2827,9610.9,489989.131,32332,20050328180000000
000852.SH,2005/03/29,1,911.35,910.67,919.16,904.73,904.82,-6.53,-0.7166,8869.13,451712.056,32332,20050329180000000
000852.SH,2005/03/30,1,904.82,902.01,902.01,868.89,869.58,-35.24,-3.8947,10849.32,549417.551,32332,20050330180000000
000852.SH,2005/03/31,1,869.58,868.27,880.9,860.42,880.9,11.32,1.3015,9257.05,441395.017,32332,20050331180000000
